id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.71,42.29,66712,48894,68.27,176202,120288,2.15,0.05,1.69,2591,62,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.45,44.55,60358,48495,78.09,147067,114847,2.88,0.06,2.28,3309,64,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.87,42.13,73591,53583,78.54,171256,134513,3.12,0.08,2.25,4200,111,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.94,42.06,82141,59627,78.67,190819,150110,3.2,0.07,2.29,4804,102,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.88,33.12,102794,50899,75.29,216549,163049,3.93,0.04,1.76,6412,69,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.66,33.34,95260,47636,72.96,207012,151032,3.66,0.05,1.68,5523,69,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.44,49.56,59669,58629,76.37,163575,124923,3.08,0.07,2.15,3844,91,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,72.23,27.77,68722,26417,72.47,137779,99847,3.15,0.04,1.53,3143,36,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,53.71,46.29,57270,49365,71.89,155066,111477,2.26,0.06,2.03,2516,64,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.07,49.93,64516,64341,74.3,180576,134160,1.83,0.06,2.06,2459,83,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,51.26,48.74,56460,53690,75.62,153414,116018,2.92,0.06,2.08,3383,69,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,56.44,43.56,66137,51035,78.05,159176,124243,3.55,0.06,2.08,4412,78,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.05,44.95,68841,56211,75.4,174167,131317,2.63,0.05,2.09,3456,68,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",UNION POR LA PATRIA,49.55,50.45,52558,53511,74.85,146694,109802,1.46,0.05,1.88,1608,59,CIUDAD AUTONOMA DE BUENOS AIRES
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,54.13,45.87,59128,50107,77.51,147324,114192,2.27,0.05,2.02,2596,56,CIUDAD AUTONOMA DE BUENOS AIRES
