id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
ENTRE RIOS_COLON,"Colon, Entre Rios",LA LIBERTAD AVANZA,63.29,36.71,28198,16358,76.83,60162,46225,1.5,0.01,2.1,694,5,ENTRE RIOS
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",LA LIBERTAD AVANZA,56.24,43.76,63144,49129,77.28,149398,115453,1.13,0.03,1.6,1302,29,ENTRE RIOS
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",LA LIBERTAD AVANZA,69.81,30.19,21578,9333,73.49,43511,31975,1.25,0.02,2.05,401,7,ENTRE RIOS
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",LA LIBERTAD AVANZA,66.13,33.87,32536,16661,79.05,64022,50608,1.14,0.02,1.63,579,9,ENTRE RIOS
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",LA LIBERTAD AVANZA,51.56,48.44,9478,8905,77.45,24431,18923,1.4,0.06,1.4,264,12,ENTRE RIOS
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",LA LIBERTAD AVANZA,51.62,48.38,4999,4686,71.74,13834,9924,0.9,0.06,1.45,89,6,ENTRE RIOS
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",LA LIBERTAD AVANZA,64.44,35.56,23334,12875,77.34,48494,37505,1.33,0.03,2.1,497,13,ENTRE RIOS
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",LA LIBERTAD AVANZA,64.87,35.13,52248,28293,80.85,103113,83363,1.36,0.04,1.99,1137,30,ENTRE RIOS
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",LA LIBERTAD AVANZA,56.39,43.61,4658,3603,68.41,12451,8518,0.92,0.02,2.08,78,2,ENTRE RIOS
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",LA LIBERTAD AVANZA,50.89,49.11,22165,21393,73.36,61153,44864,1.04,0.04,1.84,466,16,ENTRE RIOS
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",LA LIBERTAD AVANZA,64.04,35.96,17205,9661,79.44,34847,27682,1.29,0.03,1.64,356,7,ENTRE RIOS
ENTRE RIOS_PARANA,"Parana, Entre Rios",LA LIBERTAD AVANZA,62.56,37.44,148239,88702,77.3,318471,246167,1.48,0.05,2.22,3649,116,ENTRE RIOS
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",LA LIBERTAD AVANZA,65.57,34.43,8634,4534,78.91,17208,13579,1.39,0.01,1.63,189,1,ENTRE RIOS
ENTRE RIOS_TALA,"Tala, Entre Rios",LA LIBERTAD AVANZA,62.34,37.66,11385,6878,76.42,24724,18893,1.34,0.04,1.96,253,7,ENTRE RIOS
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",LA LIBERTAD AVANZA,61.56,38.44,42646,26624,77.25,92885,71758,1.42,0.02,2.03,1016,15,ENTRE RIOS
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",LA LIBERTAD AVANZA,63.9,36.1,15413,8709,75.17,33117,24895,1.2,0.03,1.88,298,8,ENTRE RIOS
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",LA LIBERTAD AVANZA,60.41,39.59,19186,12576,74.84,43619,32646,1.02,0.03,1.65,334,10,ENTRE RIOS
