id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",LA LIBERTAD AVANZA,61.35,38.65,4370,2753,67.81,11195,7591,3.16,0.05,2.95,240,4,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,63.72,36.28,108161,61591,76.26,229790,175228,1.03,0.05,2.04,1812,93,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,63.21,36.79,41559,24192,79.78,84236,67200,0.72,0.05,1.39,481,31,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",LA LIBERTAD AVANZA,54.75,45.25,5659,4677,72.68,14728,10705,0.78,0.1,2.57,83,11,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Susques, Jujuy",0.0,0.0,0,0,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",LA LIBERTAD AVANZA,50.64,49.36,25941,25288,75.55,69266,52332,0.79,0.04,1.28,412,19,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,60.28,39.72,22750,14991,79.69,48581,38714,0.66,0.06,1.79,256,25,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,48.11,51.89,433,467,55.91,1651,923,0.54,0.0,1.95,5,0,JUJUY
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Valle Grande, Jujuy",0.0,0.0,0,0,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,63.07,36.93,2890,1692,78.25,6037,4724,0.76,0.08,2.16,36,4,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,47.31,52.69,23681,26379,77.76,65745,51123,0.67,0.06,1.35,342,32,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,41.26,58.74,4771,6792,76.04,15463,11758,0.6,0.02,1.05,70,2,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,40.47,59.53,503,740,50.02,2555,1278,0.78,0.0,1.96,10,0,JUJUY
JUJUY_TILCARA,"Tilcara, Jujuy",LA LIBERTAD AVANZA,51.75,48.25,4503,4198,74.89,11966,8961,0.77,0.06,2.08,69,5,JUJUY
JUJUY_TUMBAYA,"Tumbaya, Jujuy",UNION POR LA PATRIA,48.77,51.23,1231,1293,51.23,5128,2627,0.65,0.08,3.2,17,2,JUJUY
JUJUY_YAVI,"Yavi, Jujuy",LA LIBERTAD AVANZA,53.8,46.2,6728,5778,71.37,18224,13007,1.39,0.09,2.37,181,12,JUJUY
