id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA PAMPA_CURACO,"Curaco, La Pampa",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,LA PAMPA
LA PAMPA_ATREUCO,"Atreuco, La Pampa",LA LIBERTAD AVANZA,62.09,37.91,4626,2825,75.97,10147,7709,1.26,0.17,1.92,97,13,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",LA LIBERTAD AVANZA,53.88,46.12,867,742,73.58,2237,1646,0.97,0.0,1.28,16,0,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",LA LIBERTAD AVANZA,50.37,49.63,35800,35271,76.76,96085,73758,1.59,0.04,2.01,1172,29,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",LA LIBERTAD AVANZA,58.65,41.35,3275,2309,81.14,7057,5726,1,0.03,1.45,57,2,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,46.73,53.27,893,1018,71.88,2731,1963,1.07,0.0,1.58,21,0,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,64.02,35.98,5072,2851,73.3,11079,8121,1.22,0.0,1.22,99,0,LA PAMPA
LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,47.89,52.11,466,507,67.3,1474,992,1.31,0.0,0.6,13,0,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",LA LIBERTAD AVANZA,57.65,42.35,5650,4150,76.8,13150,10099,1.28,0.0,1.68,129,0,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",LA LIBERTAD AVANZA,71.0,29.0,3880,1585,68.56,8308,5696,2.93,0.0,1.12,167,0,LA PAMPA
LA PAMPA_HUCAL,"Hucal, La Pampa",LA LIBERTAD AVANZA,64.56,35.44,3248,1783,72.99,7227,5275,2.01,0.02,2.6,106,1,LA PAMPA
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",LA LIBERTAD AVANZA,58.55,41.45,113,80,72.43,272,197,1.52,0.0,0.51,3,0,LA PAMPA
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",LA LIBERTAD AVANZA,50.87,49.13,146,141,76.62,385,295,1.69,0.0,1.02,5,0,LA PAMPA
LA PAMPA_LOVENTUE,"Loventue, La Pampa",LA LIBERTAD AVANZA,51.4,48.6,2939,2779,71.8,8171,5867,0.8,0.03,1.7,47,2,LA PAMPA
LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,61.69,38.31,25533,15853,78.43,54710,42909,1.49,0.02,2.04,638,9,LA PAMPA
LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,63.86,36.14,4267,2415,75.59,9080,6864,0.9,0.0,1.75,62,0,LA PAMPA
LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",LA LIBERTAD AVANZA,66.99,33.01,3795,1870,75.07,7799,5855,1.32,0.02,1.91,77,1,LA PAMPA
LA PAMPA_RANCUL,"Rancul, La Pampa",LA LIBERTAD AVANZA,56.18,43.82,3796,2961,71.69,9725,6972,1.39,0.03,1.66,97,2,LA PAMPA
LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,65.07,34.93,7386,3964,76.93,15241,11725,1.36,0.03,1.81,160,3,LA PAMPA
LA PAMPA_TOAY,"Toay, La Pampa",LA LIBERTAD AVANZA,54.4,45.6,6076,5093,77.52,14923,11568,1.38,0.03,2.04,160,3,LA PAMPA
LA PAMPA_TRENEL,"Trenel, La Pampa",LA LIBERTAD AVANZA,51.7,48.3,1992,1861,78.41,5057,3965,1.51,0.1,1.21,60,4,LA PAMPA
LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,62.65,37.35,6482,3865,74.97,14283,10708,1.34,0.04,1.99,144,4,LA PAMPA
