id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",LA LIBERTAD AVANZA,52.32,47.68,5227,4764,77.52,13161,10202,0.88,0.05,1.14,90,5,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,58.28,41.72,74777,53537,79.87,163911,130916,0.73,0.04,1.22,962,47,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,37.77,62.23,1571,2588,82.2,5153,4236,0.85,0.05,0.92,36,2,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",LA LIBERTAD AVANZA,50.88,49.12,4840,4672,76.67,12706,9742,0.92,0.11,1.32,90,11,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,58.2,41.8,19481,13991,77.77,43967,34194,1.01,0.04,1.06,344,14,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,44.43,55.57,3105,3884,79.51,9060,7204,1.82,0.0,1.17,131,0,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,43.21,56.79,1817,2388,79.47,5451,4332,1.66,0.0,1.27,72,0,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",UNION POR LA PATRIA,35.92,64.08,630,1124,67.13,2671,1793,1.12,0.0,1.06,20,0,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",LA LIBERTAD AVANZA,51.19,48.81,2437,2324,72.02,6743,4856,0.86,0.0,1.09,42,0,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"General Juan F. Quiroga, La Rioja",UNION POR LA PATRIA,42.66,57.34,1064,1430,73.42,3491,2563,1.99,0.0,0.7,51,0,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",UNION POR LA PATRIA,34.77,65.23,507,951,83.45,1782,1487,1.34,0.0,0.61,20,0,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",UNION POR LA PATRIA,31.32,68.68,1570,3442,75.65,6736,5096,1.08,0.0,0.57,55,0,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",UNION POR LA PATRIA,35.64,64.36,1073,1938,73.14,4210,3079,0.81,0.0,1.4,25,0,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",UNION POR LA PATRIA,31.1,68.9,598,1325,77.95,2512,1958,0.77,0.0,1.02,15,0,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",UNION POR LA PATRIA,40.03,59.97,3615,5416,67.04,13764,9228,0.81,0.05,1.27,75,5,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",UNION POR LA PATRIA,47.02,52.98,1295,1459,79.96,3543,2833,1.09,0.0,1.69,31,0,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",UNION POR LA PATRIA,38.85,61.15,995,1566,83.95,3097,2600,0.58,0.04,0.88,15,1,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",UNION POR LA PATRIA,37.37,62.63,645,1081,72.22,2451,1770,1.24,0.0,1.24,22,0,LA RIOJA
