id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",UNION POR LA PATRIA,40.66,59.34,4905,7158,46.7,26253,12259,1.48,0.01,0.11,182,1,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",LA LIBERTAD AVANZA,57.29,42.71,16220,12090,77.57,37241,28886,0.99,0.02,0.99,285,6,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",LA LIBERTAD AVANZA,53.11,46.89,18116,15996,74.29,47092,34983,1.88,0.02,0.59,659,7,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",LA LIBERTAD AVANZA,51.37,48.63,10942,10357,74.18,29387,21800,1.35,0.06,0.89,295,13,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",LA LIBERTAD AVANZA,62.65,37.35,135897,81009,74.71,296624,221606,1.05,0.04,1.04,2320,83,MISIONES
MISIONES_CONCEPCION,"Concepcion, Misiones",LA LIBERTAD AVANZA,50.35,49.65,2827,2788,70.75,8079,5716,1.42,0.02,0.33,81,1,MISIONES
MISIONES_ELDORADO,"Eldorado, Misiones",LA LIBERTAD AVANZA,54.96,45.04,28197,23108,75.29,69570,52380,0.95,0.03,1.07,500,17,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",LA LIBERTAD AVANZA,53.4,46.6,13335,11637,67.51,37658,25422,1.12,0.05,0.6,285,13,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",LA LIBERTAD AVANZA,50.76,49.24,20427,19817,67.52,61056,41223,1.76,0.04,0.58,724,17,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",LA LIBERTAD AVANZA,59.51,40.49,32454,22077,71.74,77630,55690,1.23,0.02,0.82,687,13,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",LA LIBERTAD AVANZA,57.76,42.24,18365,13429,78.56,41635,32709,1.89,0.01,0.9,617,3,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",LA LIBERTAD AVANZA,58.69,41.31,17955,12638,75.71,41293,31264,1.42,0.02,0.71,445,5,MISIONES
MISIONES_MONTECARLO,"Montecarlo, Misiones",LA LIBERTAD AVANZA,54.27,45.73,12070,10172,75.12,30123,22627,0.82,0.06,0.83,185,13,MISIONES
MISIONES_OBERA,"Obera, Misiones",LA LIBERTAD AVANZA,56.04,43.96,38783,30418,75.65,93407,70660,1.44,0.01,0.61,1020,9,MISIONES
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",LA LIBERTAD AVANZA,52.03,47.97,19064,17573,74.76,49858,37276,1.12,0.02,0.58,417,6,MISIONES
MISIONES_SAN JAVIER,"San Javier, Misiones",UNION POR LA PATRIA,49.24,50.76,6630,6834,73.32,18684,13700,1.22,0.01,0.5,167,1,MISIONES
MISIONES_SAN PEDRO,"San Pedro, Misiones",UNION POR LA PATRIA,42.09,57.91,6939,9546,70.2,24020,16862,1.97,0.01,0.26,333,1,MISIONES
