id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",,0.0,0.0,0,0,0.0,0,0,"Santa Victoria, Salta",0.0,0.0,0,0,SALTA
SALTA_ANTA,"Anta, Salta",UNION POR LA PATRIA,46.07,53.93,16670,19515,69.88,52546,36717,0.72,0.11,0.62,265,41,SALTA
SALTA_CACHI,"Cachi, Salta",LA LIBERTAD AVANZA,58.16,41.84,3135,2255,73.18,7561,5533,1.05,0.07,1.46,58,4,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",LA LIBERTAD AVANZA,55.85,44.15,6200,4901,78.82,14459,11396,1.1,0.17,1.33,125,19,SALTA
SALTA_CAPITAL,"Capital, Salta",LA LIBERTAD AVANZA,65.92,34.08,226946,117311,78.62,451114,354683,1.17,0.15,1.62,4153,525,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",LA LIBERTAD AVANZA,64.41,35.59,21388,11816,79.68,42606,33950,0.98,0.07,1.15,332,24,SALTA
SALTA_CHICOANA,"Chicoana, Salta",LA LIBERTAD AVANZA,64.32,35.68,9953,5520,80.9,19493,15770,0.84,0.04,1.0,133,6,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",LA LIBERTAD AVANZA,55.12,44.88,17591,14322,77.11,42186,32530,0.74,0.16,1.0,240,51,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"General Jose De San Martin, Salta",UNION POR LA PATRIA,41.34,58.66,39615,56217,69.28,140473,97316,0.68,0.07,0.77,666,71,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",LA LIBERTAD AVANZA,59.19,40.81,1375,948,70.67,3351,2368,0.72,0.17,1.01,17,4,SALTA
SALTA_IRUYA,"Iruya, Salta",UNION POR LA PATRIA,42.45,57.55,509,690,24.4,4991,1218,0.82,0.25,0.49,10,3,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",LA LIBERTAD AVANZA,66.62,33.38,8229,4124,79.16,15973,12645,1.23,0.15,0.93,156,19,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",UNION POR LA PATRIA,47.28,52.72,2052,2288,77.01,5755,4432,0.83,0.14,1.11,37,6,SALTA
SALTA_LA POMA,"La Poma, Salta",UNION POR LA PATRIA,47.94,52.06,511,555,73.78,1495,1103,2.27,0.0,1.09,25,0,SALTA
SALTA_LA VIÑA,"La Viña, Salta",LA LIBERTAD AVANZA,58.35,41.65,3505,2502,75.15,8130,6110,0.74,0.1,0.85,45,6,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",LA LIBERTAD AVANZA,60.69,39.31,2535,1642,64.68,6628,4287,0.77,0.26,1.54,33,11,SALTA
SALTA_METAN,"Metan, Salta",LA LIBERTAD AVANZA,54.25,45.75,14023,11824,72.6,36396,26423,0.89,0.09,1.19,236,25,SALTA
SALTA_MOLINOS,"Molinos, Salta",LA LIBERTAD AVANZA,50.52,49.48,1813,1776,72.67,5050,3670,1.01,0.08,1.12,37,3,SALTA
SALTA_ORAN,"Oran, Salta",LA LIBERTAD AVANZA,54.27,45.73,45677,38492,69.43,123279,85594,0.86,0.1,0.71,738,82,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",UNION POR LA PATRIA,23.95,76.05,4001,12708,56.41,29942,16891,0.54,0.14,0.4,91,24,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",UNION POR LA PATRIA,49.07,50.93,9502,9863,74.53,26550,19787,1.02,0.1,1.02,202,19,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",LA LIBERTAD AVANZA,63.7,36.3,19207,10945,79.13,38991,30852,0.96,0.09,1.22,296,28,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",UNION POR LA PATRIA,47.44,52.56,2072,2296,67.63,6592,4458,0.85,0.09,1.08,38,4,SALTA
