,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
0,BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",LA LIBERTAD AVANZA,63.72,36.28,14530,8272,73.87,31823,23508,1.44,0.06,1.5,339,15
1,BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",LA LIBERTAD AVANZA,63.97,36.03,20408,11495,76.24,43181,32921,1.72,0.03,1.35,566,9
2,BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",LA LIBERTAD AVANZA,66.54,33.46,6732,3385,72.18,14521,10481,2.09,0.0,1.38,219,0
3,BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",LA LIBERTAD AVANZA,54.52,45.48,4177,3485,73.12,10893,7965,1.66,0.01,2.13,132,1
4,BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",LA LIBERTAD AVANZA,58.22,41.78,4314,3096,79.28,9645,7647,3.01,0.01,0.08,230,1
5,BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,41.1,58.9,140441,201239,77.27,455938,352282,1.59,0.05,1.37,5584,176
6,BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",LA LIBERTAD AVANZA,58.35,41.65,11376,8120,77.37,25914,20050,1.7,0.05,1.01,340,11
7,BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,42.4,57.6,93523,127060,77.5,294279,228075,2.11,0.08,1.1,4802,182
8,BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",LA LIBERTAD AVANZA,54.96,45.04,7030,5761,73.16,18475,13517,3.34,0.04,2.0,451,5
9,BUENOS AIRES_AZUL,"Azul, Buenos Aires",LA LIBERTAD AVANZA,57.48,42.52,24024,17772,74.75,58339,43606,1.67,0.02,2.46,730,9
10,BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",LA LIBERTAD AVANZA,63.29,36.71,114546,66451,75.25,250653,188613,2.01,0.06,1.97,3792,114
11,BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",LA LIBERTAD AVANZA,65.34,34.66,19561,10375,75.65,41091,31087,1.7,0.01,1.99,530,2
12,BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",UNION POR LA PATRIA,48.69,51.31,11269,11876,77.23,31040,23972,1.41,0.09,1.95,337,22
13,BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",LA LIBERTAD AVANZA,51.73,48.27,6385,5958,72.01,17971,12941,2.48,0.05,2.09,321,6
14,BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,44.25,55.75,94066,118509,79.9,273700,218694,1.72,0.02,1.06,3754,54
15,BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,43.57,56.43,27083,35082,78.05,82226,64176,2.18,0.06,0.9,1396,38
16,BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",LA LIBERTAD AVANZA,61.57,38.43,14090,8796,75.43,31343,23643,1.51,0.0,1.69,357,1
17,BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",LA LIBERTAD AVANZA,57.46,42.54,15942,11803,76.95,37383,28767,1.86,0.02,1.68,534,5
18,BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",LA LIBERTAD AVANZA,54.97,45.03,10880,8913,77.07,26518,20437,1.4,0.12,1.63,286,25
19,BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",LA LIBERTAD AVANZA,52.43,47.57,33680,30564,76.39,86786,66292,1.49,0.04,1.56,985,29
20,BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",LA LIBERTAD AVANZA,64.42,35.58,6584,3636,77.56,13550,10510,1.92,0.03,0.81,202,3
21,BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",LA LIBERTAD AVANZA,62.43,37.57,9372,5639,76.39,20188,15421,2.14,0.01,0.51,330,1
22,BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",LA LIBERTAD AVANZA,51.82,48.18,4036,3753,78.48,10203,8007,1.79,0.02,0.91,143,2
23,BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",LA LIBERTAD AVANZA,57.97,42.03,5944,4310,75.84,13815,10477,1.65,0.03,0.45,173,3
24,BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",LA LIBERTAD AVANZA,55.36,44.64,3392,2735,79.74,7933,6326,1.19,0.0,1.96,75,0
25,BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",LA LIBERTAD AVANZA,51.38,48.62,19668,18612,76.52,51408,39337,1.68,0.06,0.95,661,22
26,BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",LA LIBERTAD AVANZA,53.9,46.1,17811,15232,79.23,43276,34289,1.92,0.05,1.67,657,18
27,BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",LA LIBERTAD AVANZA,58.67,41.33,15019,10582,75.65,35366,26756,3.31,0.01,0.99,886,3
28,BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",LA LIBERTAD AVANZA,53.64,46.36,24086,20820,76.89,60560,46565,1.93,0.06,1.57,901,26
29,BUENOS AIRES_COLON,"Colon, Buenos Aires",LA LIBERTAD AVANZA,52.61,47.39,8789,7916,77.2,22237,17168,1.49,0.02,1.19,255,4
