id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",UNION POR LA PATRIA,46.52,53.48,11941,13729,78.15,33475,26161,0.62,0.01,1.25,161,2,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",LA LIBERTAD AVANZA,53.76,46.24,1052,905,72.8,2739,1994,0.45,0.0,1.4,9,0,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",LA LIBERTAD AVANZA,64.22,35.78,152108,84746,78.41,310286,243285,0.8,0.06,1.79,1937,137,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",UNION POR LA PATRIA,39.45,60.55,5707,8758,75.73,19448,14728,0.61,0.02,1.15,90,3,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",UNION POR LA PATRIA,48.94,51.06,13912,14517,73.49,39753,29213,0.93,0.05,1.7,273,15,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",LA LIBERTAD AVANZA,50.47,49.53,5753,5645,77.96,14965,11666,0.64,0.03,1.62,75,4,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",UNION POR LA PATRIA,41.89,58.11,9258,12843,68.03,33153,22554,0.7,0.03,1.28,159,6,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",UNION POR LA PATRIA,46.95,53.05,2248,2540,67.51,7261,4902,0.82,0.04,1.47,40,2,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",UNION POR LA PATRIA,44.6,55.4,4810,5974,74.09,14805,10969,0.61,0.0,1.08,67,0,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",UNION POR LA PATRIA,41.78,58.22,24910,34718,76.16,80246,61118,0.89,0.03,1.52,545,19,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",LA LIBERTAD AVANZA,52.87,47.13,3703,3301,68.37,10387,7102,0.42,0.01,0.94,30,1,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",LA LIBERTAD AVANZA,57.98,42.02,15137,10971,67.49,39556,26696,0.66,0.01,1.52,177,4,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",UNION POR LA PATRIA,34.24,65.76,7530,14461,78.95,28410,22431,0.68,0.01,1.27,153,3,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",UNION POR LA PATRIA,34.79,65.21,2427,4549,75.78,9386,7113,0.93,0.03,0.97,66,2,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",LA LIBERTAD AVANZA,52.52,47.48,14855,13428,75.5,38414,29001,0.68,0.05,1.74,197,15,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",LA LIBERTAD AVANZA,55.1,44.9,13886,11314,76.86,33424,25689,0.79,0.04,1.07,204,10,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",UNION POR LA PATRIA,47.2,52.8,15728,17591,71.94,47361,34070,0.75,0.03,1.43,254,11,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",UNION POR LA PATRIA,41.35,58.65,6569,9318,78.59,20628,16211,0.73,0.03,1.24,118,5,CORRIENTES
CORRIENTES_SAN COSME,"San Cosme, Corrientes",LA LIBERTAD AVANZA,66.69,33.31,11715,5851,73.18,24552,17968,0.76,0.03,1.45,136,6,CORRIENTES
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",UNION POR LA PATRIA,48.33,51.67,6923,7402,80.57,18189,14655,0.61,0.01,1.63,90,1,CORRIENTES
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",UNION POR LA PATRIA,46.69,53.31,4022,4593,72.26,12190,8809,1.09,0.0,1.11,96,0,CORRIENTES
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",UNION POR LA PATRIA,31.85,68.15,2413,5163,76.75,10081,7737,0.81,0.06,1.2,63,5,CORRIENTES
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",UNION POR LA PATRIA,35.21,64.79,4775,8786,74.38,18582,13822,0.77,0.01,1.11,106,2,CORRIENTES
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",LA LIBERTAD AVANZA,56.49,43.51,22659,17453,74.99,54694,41016,0.7,0.03,1.48,287,12,CORRIENTES
CORRIENTES_SAUCE,"Sauce, Corrientes",UNION POR LA PATRIA,37.38,62.62,2150,3601,71.76,8227,5904,0.91,0.0,1.68,54,0,CORRIENTES
