id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",LA LIBERTAD AVANZA,72.86,27.14,52491,19551,74.77,100435,75098,1.99,0.06,2.02,1493,47,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,63.45,36.55,16854,9709,71.43,38556,27539,1.71,0.08,1.75,472,21,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,72.13,27.87,83025,32074,75.17,159783,120107,1.72,0.05,2.4,2068,61,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,73.9,26.1,128158,45268,76.14,236601,180152,1.45,0.05,2.24,2607,87,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,73.95,26.05,21204,7470,79.89,37416,29890,1.5,0.06,2.52,447,17,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",LA LIBERTAD AVANZA,50.51,49.49,3839,3762,81.99,9470,7764,0.98,0.03,1.09,76,2,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,68.03,31.97,82988,38995,75.25,168630,126887,1.4,0.07,2.39,1782,86,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,59.93,40.07,15909,10635,75.4,36296,27368,1.35,0.05,1.61,369,14,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,77.01,22.99,66872,19960,77.72,115929,90099,1.48,0.06,2.08,1333,58,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,73.41,26.59,85617,31008,78.65,153852,121010,1.4,0.05,2.18,1696,57,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,64.9,35.1,11239,6079,71.08,25331,18006,1.79,0.0,2.03,322,0,MENDOZA
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,70.0,30.0,24649,10562,79.15,46163,36540,1.54,0.04,2.06,561,14,MENDOZA
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",LA LIBERTAD AVANZA,73.89,26.11,16289,5756,78.72,28880,22735,1.12,0.03,1.89,254,6,MENDOZA
MENDOZA_SAN MARTIN,"San Martin, Mendoza",LA LIBERTAD AVANZA,69.0,31.0,49468,22220,76.28,97428,74317,1.35,0.04,2.14,1006,31,MENDOZA
MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",LA LIBERTAD AVANZA,68.88,31.12,75745,34229,74.15,153789,114039,1.6,0.04,1.93,1828,41,MENDOZA
MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",LA LIBERTAD AVANZA,55.36,44.64,6233,5026,77.69,14834,11524,0.87,0.01,1.42,100,1,MENDOZA
MENDOZA_TUNUYAN,"Tunuyan, Mendoza",LA LIBERTAD AVANZA,72.56,27.44,24032,9089,78.33,43537,34103,1.17,0.01,1.7,398,4,MENDOZA
MENDOZA_TUPUNGATO,"Tupungato, Mendoza",LA LIBERTAD AVANZA,75.7,24.3,15752,5057,76.64,27958,21426,1.19,0.02,1.67,255,5,MENDOZA
