id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",LA LIBERTAD AVANZA,51.92,48.08,3203,2966,75.61,8566,6477,1.19,0.09,3.47,77,6,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,60.93,39.07,6738,4321,72.1,15809,11398,0.82,0.03,2.13,93,3,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",UNION POR LA PATRIA,27.22,72.78,304,813,72.05,1610,1160,0.69,0.26,2.76,8,3,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",LA LIBERTAD AVANZA,53.67,46.33,5319,4592,73.91,13976,10329,1.31,0.02,2.72,135,2,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",UNION POR LA PATRIA,48.0,52.0,1391,1507,74.85,4032,3018,1.09,0.03,2.85,33,1,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,61.28,38.72,171343,108266,80.81,361411,292074,1.32,0.05,2.9,3862,144,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",LA LIBERTAD AVANZA,53.7,46.3,6181,5330,78.47,15405,12089,1.36,0.09,3.33,164,11,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",LA LIBERTAD AVANZA,65.72,34.28,15496,8084,74.89,33316,24949,1.68,0.06,3.74,420,16,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",LA LIBERTAD AVANZA,50.49,49.51,2330,2285,82.22,5927,4873,1.15,0.0,4.15,56,0,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",LA LIBERTAD AVANZA,67.09,32.91,6088,2987,70.05,13610,9534,1.54,0.16,3.12,147,15,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",UNION POR LA PATRIA,48.33,51.67,2613,2794,77.83,7430,5783,1.95,0.0,4.55,113,0,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",LA LIBERTAD AVANZA,61.45,38.55,10118,6347,74.62,22729,16961,0.88,0.06,1.98,150,11,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",UNION POR LA PATRIA,47.14,52.86,1526,1711,77.21,4358,3365,1.07,0.06,2.67,36,2,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",LA LIBERTAD AVANZA,61.35,38.65,2868,1807,76.6,6358,4870,1.01,0.04,2.96,49,2,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",LA LIBERTAD AVANZA,61.69,38.31,16387,10177,80.39,34653,27857,1.12,0.01,3.52,311,2,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",UNION POR LA PATRIA,43.5,56.5,1567,2035,76.65,4887,3746,1.28,0.16,2.4,48,6,NEUQUEN
