id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",UNION POR LA PATRIA,36.84,63.16,3161,5419,69.05,12881,8894,1.08,0.0,2.45,96,0,RIO NEGRO
RIO NEGRO_9 DE JULIO,"9 De Julio, Rio Negro",UNION POR LA PATRIA,32.7,67.3,641,1319,62.75,3216,2018,1.19,0.05,1.64,24,1,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",LA LIBERTAD AVANZA,53.47,46.53,22773,19819,76.18,58223,44357,1.35,0.09,2.54,601,39,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",LA LIBERTAD AVANZA,54.53,45.47,12868,10731,76.57,31927,24445,1.04,0.01,2.41,254,3,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",LA LIBERTAD AVANZA,50.02,49.98,44704,44672,72.36,129508,93716,1.7,0.07,2.86,1595,65,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",LA LIBERTAD AVANZA,55.49,44.51,2250,1805,71.53,5869,4198,1.05,0.02,2.33,44,1,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",UNION POR LA PATRIA,42.52,57.48,1035,1399,72.36,3459,2503,0.68,0.0,2.08,17,0,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",LA LIBERTAD AVANZA,57.55,42.45,127883,94326,78.65,293624,230941,1.2,0.02,2.55,2779,53,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",LA LIBERTAD AVANZA,56.16,43.84,5257,4104,74.18,13054,9684,1.1,0.03,2.2,107,3,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",UNION POR LA PATRIA,46.9,53.1,2801,3171,72.56,8626,6259,1.73,0.06,2.8,108,4,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio, Rio Negro",LA LIBERTAD AVANZA,52.72,47.28,10975,9841,71.76,30021,21542,0.99,0.03,2.35,213,7,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",UNION POR LA PATRIA,41.6,58.4,1119,1571,68.12,4131,2814,1.24,0.04,3.13,35,1,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",UNION POR LA PATRIA,23.44,76.56,195,637,60.67,1429,867,0.92,0.0,3.11,8,0,RIO NEGRO
