id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTA FE_9 DE JULIO,"9 De Julio, Santa Fe",LA LIBERTAD AVANZA,66.18,33.82,12273,6272,70.44,26821,18894,0.75,0.01,1.09,142,1,SANTA FE
SANTA FE_BELGRANO,"Belgrano, Santa Fe",LA LIBERTAD AVANZA,71.78,28.22,21026,8266,76.97,39428,30349,1.96,0.0,1.52,596,0,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",LA LIBERTAD AVANZA,70.88,29.12,37483,15398,76.53,72338,55359,2.23,0.04,2.2,1236,24,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",LA LIBERTAD AVANZA,73.49,26.51,81645,29457,76.21,150951,115036,1.51,0.01,1.9,1737,13,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",LA LIBERTAD AVANZA,60.13,39.87,34436,22835,77.81,76806,59760,1.86,0.01,2.29,1111,8,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",LA LIBERTAD AVANZA,61.82,38.18,8566,5291,71.37,19909,14209,0.9,0.0,1.58,128,0,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",LA LIBERTAD AVANZA,70.68,29.32,85463,35451,75.2,166983,125573,1.86,0.01,1.84,2337,9,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",LA LIBERTAD AVANZA,62.09,37.91,70208,42864,75.07,154178,115735,0.88,0.07,1.36,1015,78,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",LA LIBERTAD AVANZA,66.85,33.15,29331,14546,76.53,59844,45801,2.11,0.0,2.09,968,0,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",LA LIBERTAD AVANZA,60.95,39.05,197934,126820,73.8,457995,338022,1.63,0.04,2.25,5508,143,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",LA LIBERTAD AVANZA,77.11,22.89,52798,15669,77.9,91062,70934,1.58,0.01,1.89,1118,9,SANTA FE
SANTA FE_ROSARIO,"Rosario, Santa Fe",LA LIBERTAD AVANZA,57.77,42.23,434442,317557,74.29,1056533,784935,1.72,0.03,2.45,13483,204,SANTA FE
SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",LA LIBERTAD AVANZA,66.94,33.06,27775,13716,70.63,60559,42770,1.25,0.0,1.73,535,2,SANTA FE
SANTA FE_SAN JAVIER,"San Javier, Santa Fe",LA LIBERTAD AVANZA,56.39,43.61,10645,8234,69.84,27930,19506,1.07,0.04,2.11,208,8,SANTA FE
SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",LA LIBERTAD AVANZA,64.74,35.26,32776,17852,74.74,70210,52478,1.61,0.01,1.91,843,6,SANTA FE
SANTA FE_SAN JUSTO,"San Justo, Santa Fe",LA LIBERTAD AVANZA,69.49,30.51,18809,8257,74.93,37293,27943,1.12,0.01,2.01,313,3,SANTA FE
SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",LA LIBERTAD AVANZA,63.76,36.24,75457,42894,78.1,157360,122893,1.46,0.03,2.21,1800,31,SANTA FE
SANTA FE_SAN MARTIN,"San Martin, Santa Fe",LA LIBERTAD AVANZA,73.58,26.42,30077,10800,77.11,55164,42538,1.59,0.01,2.3,676,5,SANTA FE
SANTA FE_VERA,"Vera, Santa Fe",LA LIBERTAD AVANZA,54.62,45.38,17099,14209,69.04,46430,32054,1.02,0.02,1.29,326,7,SANTA FE
