id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",UNION POR LA PATRIA,34.38,65.62,10358,19772,79.53,38421,30555,0.61,0.09,0.68,187,29,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",LA LIBERTAD AVANZA,60.33,39.67,219842,144549,81.2,460293,373760,0.93,0.08,1.5,3470,304,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",LA LIBERTAD AVANZA,50.3,49.7,28880,28530,82.85,70534,58440,0.67,0.03,1.06,392,19,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",UNION POR LA PATRIA,45.31,54.69,65480,79034,84.44,174044,146956,0.62,0.11,0.93,916,161,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",UNION POR LA PATRIA,48.25,51.75,12756,13684,82.16,32781,26934,0.83,0.07,0.94,224,18,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",UNION POR LA PATRIA,27.28,72.72,2793,7445,82.14,12607,10356,0.71,0.0,0.42,74,0,TUCUMAN
TUCUMAN_JUAN BAUTISTA ALBERDI,"Juan Bautista Alberdi, Tucuman",UNION POR LA PATRIA,46.83,53.17,10306,11702,82.06,27193,22315,0.6,0.04,0.73,135,8,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",UNION POR LA PATRIA,40.9,59.1,5727,8275,83.58,17054,14254,0.69,0.42,0.66,98,60,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",UNION POR LA PATRIA,38.66,61.34,16159,25638,82.79,51229,42411,0.54,0.04,0.87,228,16,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",LA LIBERTAD AVANZA,55.35,44.65,26453,21335,84.26,57830,48725,0.62,0.1,1.2,300,50,TUCUMAN
TUCUMAN_MONTEROS,"Monteros, Tucuman",UNION POR LA PATRIA,39.7,60.3,18983,28834,83.32,58197,48488,0.7,0.07,0.62,337,35,TUCUMAN
TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",UNION POR LA PATRIA,37.29,62.71,15898,26739,84.2,51352,43238,0.76,0.05,0.58,328,22,TUCUMAN
TUCUMAN_SIMOCA,"Simoca, Tucuman",UNION POR LA PATRIA,34.14,65.86,8150,15723,82.3,29332,24140,0.61,0.04,0.46,148,9,TUCUMAN
TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",UNION POR LA PATRIA,42.11,57.89,5467,7515,81.08,16366,13269,0.8,0.05,1.32,106,6,TUCUMAN
TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",LA LIBERTAD AVANZA,57.06,42.94,58987,44385,83.95,126027,105797,0.81,0.12,1.36,860,124,TUCUMAN
TUCUMAN_TRANCAS,"Trancas, Tucuman",UNION POR LA PATRIA,47.4,52.6,6381,7080,80.66,17019,13727,0.79,0.07,1.08,109,9,TUCUMAN
TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",LA LIBERTAD AVANZA,65.43,34.57,42389,22398,83.86,79214,66427,1.1,0.07,1.3,734,44,TUCUMAN
