,id,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,UNION POR LA PATRIA,3.58,3.73,24.1,25.72,42.88,352790,367457,2374023,2533633,4224688,77.71,13124435,10199399,2.64,0.13,0.63,269648,13295,63865
1,CATAMARCA,UNION POR LA PATRIA,1.57,6.43,17.17,32.04,42.79,3666,14967,39960,74570,99612,72.81,340606,247986,5.16,0.26,0.71,12804,641,1766
2,CHACO,UNION POR LA PATRIA,0.77,3.63,24.14,27.77,43.7,5482,25804,171756,197596,310962,72.45,1000094,724566,1.1,0.16,0.53,7960,1165,3841
3,CHUBUT,LA LIBERTAD AVANZA,4.4,7.73,20.59,35.02,32.26,15122,26555,70717,120297,110820,74.54,474701,353825,1.27,0.11,1.53,4502,396,5416
4,CIUDAD AUTONOMA DE BUENOS AIRES,JUNTOS POR EL CAMBIO,3.55,3.09,41.23,19.85,32.28,66145,57607,767367,369424,600832,75.65,2526676,1911431,1.69,0.12,0.8,32311,2378,15367
5,CORDOBA,LA LIBERTAD AVANZA,1.39,29.01,22.63,33.55,13.42,31895,665717,519252,769847,308016,76.19,3060943,2332248,0.77,0.03,0.81,17852,800,18869
6,CORRIENTES,UNION POR LA PATRIA,1.05,2.74,32.12,26.89,37.21,7315,19118,224519,187916,260040,76.8,930212,714443,1.1,0.12,0.95,7879,875,6781
7,ENTRE RIOS,UNION POR LA PATRIA,1.53,5.37,30.09,29.75,33.26,12760,44720,250512,247640,276850,76.8,1145440,879653,4.25,0.16,0.96,37352,1364,8455
8,FORMOSA,UNION POR LA PATRIA,0.77,2.46,15.4,29.04,52.33,2772,8793,55097,103911,187229,75.61,482420,364755,1.28,0.07,0.55,4675,265,2013
9,JUJUY,LA LIBERTAD AVANZA,3.54,6.81,19.94,37.39,32.32,16006,30775,90095,168921,146027,78.35,590950,463017,1.35,0.07,0.99,6253,334,4606
10,LA PAMPA,UNION POR LA PATRIA,2.3,7.44,21.92,33.53,34.8,5244,16947,49911,76341,79229,77.33,300032,232000,0.89,0.05,0.93,2058,116,2154
11,LA RIOJA,UNION POR LA PATRIA,0.92,8.51,11.8,37.65,41.1,2189,20179,27975,89236,97412,79.62,304409,242363,1.49,0.05,0.68,3606,111,1655
12,MENDOZA,LA LIBERTAD AVANZA,3.48,4.33,25.85,42.36,23.98,38572,47958,286475,469367,265740,76.45,1494888,1142804,1.65,0.07,1.32,18862,799,15031
13,MISIONES,LA LIBERTAD AVANZA,1.38,4.13,14.44,42.13,37.91,10036,29966,104787,305629,275062,75.89,989204,750671,2.74,0.05,0.56,20570,406,4215
14,NEUQUEN,LA LIBERTAD AVANZA,5.02,5.96,20.54,36.71,31.78,21238,25215,86927,155394,134510,79.86,554077,442495,2.69,0.1,1.55,11918,429,6864
15,RIO NEGRO,UNION POR LA PATRIA,4.02,6.26,18.14,33.73,37.85,17649,27482,79609,148037,166135,77.05,595968,459214,2.81,0.17,1.44,12923,787,6592
16,SALTA,LA LIBERTAD AVANZA,1.77,6.27,13.94,40.4,37.61,13533,47990,106684,309115,287756,71.66,1091792,782342,1.09,0.19,0.92,8529,1516,7219
17,SAN JUAN,LA LIBERTAD AVANZA,2.26,6.18,23.23,35.1,33.23,10025,27427,103118,155821,147523,74.91,607413,455037,1.42,0.08,0.94,6474,376,4273
18,SAN LUIS,LA LIBERTAD AVANZA,2.18,6.28,20.97,43.37,27.2,6964,20017,66824,138251,86681,77.99,421037,328355,1.79,0.1,1.04,5867,339,3412
19,SANTA CRUZ,UNION POR LA PATRIA,2.88,6.58,16.36,36.3,37.88,4948,11311,28101,62350,65062,70.25,265400,186441,6.04,0.16,1.66,11268,298,3103
20,SANTA FE,LA LIBERTAD AVANZA,1.9,9.04,26.89,32.48,29.68,38553,183205,544677,657813,601241,73.22,2827794,2070486,0.91,0.06,1.2,18791,1271,24935
21,SANTIAGO DEL ESTERO,UNION POR LA PATRIA,1.27,2.16,8.09,22.98,65.5,7785,13305,49761,141344,402863,77.15,814128,628087,1.28,0.16,0.63,8055,989,3985
22,TIERRA DEL FUEGO,UNION POR LA PATRIA,3.86,9.15,14.96,33.82,38.21,4091,9714,15875,35891,40548,74.11,147968,109652,1.45,0.15,1.63,1588,159,1786
23,TUCUMAN,UNION POR LA PATRIA,1.45,4.02,14.62,34.94,44.98,15152,42086,153130,365992,471145,81.8,1319493,1079405,2.08,0.08,0.8,22416,823,8661
