id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CATAMARCA_AMBATO,"Ambato, Catamarca",UNION POR LA PATRIA,0.74,4.13,17.8,23.27,54.06,27,150,647,846,1965,75.18,5495,4131,11.45,0.34,0.22,473,14,CATAMARCA
CATAMARCA_ANCASTI,"Ancasti, Catamarca",JUNTOS POR EL CAMBIO,1.3,3.42,42.3,11.66,41.32,28,74,914,252,893,75.27,3207,2414,9.44,0.7,0.33,228,17,CATAMARCA
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",UNION POR LA PATRIA,1.4,3.9,24.46,28.1,42.15,154,430,2700,3102,4652,72.79,16365,11912,6.47,0.19,0.67,771,23,CATAMARCA
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",UNION POR LA PATRIA,1.69,3.58,25.42,33.52,35.78,18,38,270,356,380,72.78,1800,1310,10.69,6.95,1.3,140,91,CATAMARCA
CATAMARCA_BELEN,"Belen, Catamarca",UNION POR LA PATRIA,0.89,3.61,25.17,27.03,43.3,154,627,4366,4689,7512,78.36,24328,19064,8.25,0.22,0.53,1573,42,CATAMARCA
CATAMARCA_CAPAYAN,"Capayan, Catamarca",UNION POR LA PATRIA,1.34,4.04,11.57,28.56,54.49,131,395,1132,2794,5331,69.05,15207,10501,6.09,0.11,0.64,639,12,CATAMARCA
CATAMARCA_CAPITAL,"Capital, Catamarca",UNION POR LA PATRIA,2.22,8.68,16.01,36.13,36.96,2121,8273,15264,34447,35237,70.23,141661,99487,3.07,0.24,0.85,3056,241,CATAMARCA
CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,0.91,2.68,17.27,17.71,61.44,29,85,548,562,1950,79.88,4343,3469,7.84,0.43,0.23,272,15,CATAMARCA
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",UNION POR LA PATRIA,1.22,6.28,17.39,34.76,40.35,90,465,1288,2575,2989,67.45,12235,8253,9.41,0.25,0.58,777,21,CATAMARCA
CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,0.86,3.95,12.29,23.85,59.05,123,562,1750,3397,8411,71.27,21018,14980,4.25,0.14,0.53,636,21,CATAMARCA
CATAMARCA_PACLIN,"Paclin, Catamarca",UNION POR LA PATRIA,0.85,2.74,18.67,21.92,55.82,30,97,661,776,1976,81.49,4554,3711,3.91,0.4,0.3,145,15,CATAMARCA
CATAMARCA_POMAN,"Poman, Catamarca",UNION POR LA PATRIA,0.64,3.62,12.63,26.61,56.5,44,249,869,1831,3888,80.46,9726,7826,11.16,0.24,0.68,873,19,CATAMARCA
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",UNION POR LA PATRIA,1.24,7.07,15.36,38.07,38.25,187,1065,2313,5734,5761,76.57,21483,16449,7.57,0.09,0.78,1246,15,CATAMARCA
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",UNION POR LA PATRIA,0.77,3.12,12.53,27.59,55.99,64,259,1039,2289,4644,78.74,11324,8916,6.27,0.24,0.46,559,21,CATAMARCA
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",UNION POR LA PATRIA,0.77,4.34,21.37,29.15,44.37,106,598,2941,4012,6106,74.58,19707,14697,5.57,0.23,0.55,819,34,CATAMARCA
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",UNION POR LA PATRIA,1.8,7.98,16.26,34.47,39.5,360,1600,3258,6908,7917,74.12,28153,20866,2.86,0.19,0.89,597,40,CATAMARCA
