id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",UNION POR LA PATRIA,0.75,3.64,20.57,25.92,49.12,105,509,2876,3623,6866,68.89,20566,14167,0.9,0.02,0.4,128,3,CHACO
CHACO_1° DE MAYO,"1° De Mayo, Chaco",UNION POR LA PATRIA,0.9,2.96,26.19,27.76,42.19,92,302,2674,2835,4308,79.37,13049,10357,1.02,0.14,0.25,106,14,CHACO
CHACO_2 DE ABRIL,"2 De Abril, Chaco",UNION POR LA PATRIA,0.79,3.27,21.79,32.58,41.57,37,154,1026,1534,1957,73.07,6527,4769,0.88,0.08,0.31,42,4,CHACO
CHACO_25 DE MAYO,"25 De Mayo, Chaco",UNION POR LA PATRIA,0.65,3.09,20.11,22.45,53.71,125,595,3870,4320,10337,72.27,27031,19535,1.04,0.08,0.35,203,16,CHACO
CHACO_9 DE JULIO,"9 De Julio, Chaco",UNION POR LA PATRIA,0.68,3.82,23.96,25.91,45.63,120,672,4216,4560,8031,68.34,26169,17885,1.06,0.04,0.49,190,8,CHACO
CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",UNION POR LA PATRIA,0.46,2.65,22.74,21.86,52.29,97,560,4796,4611,11031,65.91,32439,21381,0.87,0.04,0.43,186,8,CHACO
CHACO_BERMEJO,"Bermejo, Chaco",UNION POR LA PATRIA,0.72,2.06,22.03,20.09,55.1,130,375,4003,3651,10013,72.52,25433,18445,1.11,0.08,0.29,205,14,CHACO
CHACO_CHACABUCO,"Chacabuco, Chaco",UNION POR LA PATRIA,0.76,4.99,32.1,27.18,34.97,156,1030,6622,5607,7214,72.35,28932,20932,0.96,0.05,0.44,201,10,CHACO
CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",UNION POR LA PATRIA,0.75,4.9,26.05,32.22,36.08,468,3044,16180,20013,22407,71.88,88122,63343,1.32,0.04,0.58,838,25,CHACO
CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Santa Maria De Oro, Chaco",UNION POR LA PATRIA,0.56,3.66,28.35,26.94,40.48,38,247,1911,1816,2729,65.74,10358,6809,0.72,0.01,0.26,49,1,CHACO
CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",UNION POR LA PATRIA,0.5,2.48,14.91,21.05,61.07,36,180,1083,1529,4437,66.9,11027,7377,1.29,0.01,0.22,95,1,CHACO
CHACO_GENERAL DONOVAN,"General Donovan, Chaco",UNION POR LA PATRIA,0.76,2.99,22.31,27.56,46.38,78,308,2297,2838,4775,76.53,13667,10459,1.1,0.0,0.46,115,0,CHACO
CHACO_GENERAL GUEMES,"General Guemes, Chaco",UNION POR LA PATRIA,0.4,2.33,19.41,21.17,56.69,187,1075,8967,9779,26190,62.33,75517,47071,1.08,0.28,0.5,507,130,CHACO
CHACO_INDEPENDENCIA,"Independencia, Chaco",UNION POR LA PATRIA,0.44,2.25,15.58,25.94,55.79,57,293,2026,3372,7253,65.01,20453,13297,1.95,0.05,0.23,259,6,CHACO
CHACO_LIBERTAD,"Libertad, Chaco",UNION POR LA PATRIA,0.79,2.56,27.61,28.93,40.11,78,254,2741,2872,3982,78.1,12933,10101,1.38,0.01,0.34,139,1,CHACO
CHACO_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Chaco",UNION POR LA PATRIA,0.92,2.15,20.91,22.83,53.19,373,867,8441,9213,21467,73.43,55812,40981,0.99,0.06,0.46,406,25,CHACO
CHACO_MAIPU,"Maipu, Chaco",UNION POR LA PATRIA,0.8,2.87,19.91,26.61,49.82,117,420,2915,3897,7295,66.64,22327,14878,1.41,0.04,0.12,210,6,CHACO
CHACO_MAYOR LUIS J. FONTANA,"Mayor Luis J. Fontana, Chaco",UNION POR LA PATRIA,0.97,5.94,21.02,30.33,41.74,361,2213,7833,11299,15552,71.69,52973,37975,1.39,0.08,0.42,528,30,CHACO
CHACO_O'HIGGINS,"O'Higgins, Chaco",UNION POR LA PATRIA,0.51,3.09,14.0,25.27,57.13,67,405,1835,3313,7489,70.13,18982,13312,1.21,0.07,0.25,161,9,CHACO
CHACO_PRESIDENCIA DE LA PLAZA,"Presidencia De La Plaza, Chaco",UNION POR LA PATRIA,0.46,2.9,24.28,23.17,49.18,37,231,1932,1844,3914,71.77,11300,8110,1.27,0.04,0.57,103,3,CHACO
CHACO_QUITILIPI,"Quitilipi, Chaco",UNION POR LA PATRIA,0.34,3.75,25.05,27.43,43.43,68,752,5021,5498,8706,67.94,29999,20381,1.29,0.04,0.31,263,9,CHACO
CHACO_SAN FERNANDO,"San Fernando, Chaco",UNION POR LA PATRIA,0.92,3.94,26.73,31.04,37.37,2508,10778,73064,84828,102150,76.76,363354,278907,0.98,0.3,0.73,2721,828,CHACO
CHACO_SAN LORENZO,"San Lorenzo, Chaco",UNION POR LA PATRIA,0.82,2.57,17.85,20.34,58.42,80,250,1738,1981,5689,71.62,13868,9932,1.59,0.04,0.32,158,4,CHACO
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",UNION POR LA PATRIA,0.52,2.03,26.19,19.43,51.82,62,240,3094,2296,6123,74.87,15976,11962,1.04,0.06,0.13,125,7,CHACO
CHACO_TAPENAGA,"Tapenaga, Chaco",UNION POR LA PATRIA,0.23,2.31,27.5,21.58,48.38,5,50,595,467,1047,67.07,3280,2200,1.0,0.14,0.5,22,3,CHACO
