id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CHUBUT_BIEDMA,"Biedma, Chubut",LA LIBERTAD AVANZA,4.95,7.66,17.43,39.62,30.33,2873,4440,10109,22973,17589,76.63,77871,59674,0.97,0.08,1.77,581,50,CHUBUT
CHUBUT_CUSHAMEN,"Cushamen, Chubut",UNION POR LA PATRIA,5.23,4.5,18.45,25.26,46.56,929,800,3279,4488,8274,72.98,25257,18433,1.67,0.04,1.88,308,8,CHUBUT
CHUBUT_ESCALANTE,"Escalante, Chubut",LA LIBERTAD AVANZA,3.84,7.4,20.68,35.46,32.62,4694,9047,25295,43371,39886,74.78,168174,125762,1.15,0.18,1.42,1447,230,CHUBUT
CHUBUT_FLORENTINO AMEGHINO,"Florentino Ameghino, Chubut",LA LIBERTAD AVANZA,3.2,7.02,14.55,41.9,33.33,31,68,141,406,323,64.93,1520,987,1.22,0.0,0.61,12,0,CHUBUT
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",UNION POR LA PATRIA,4.85,8.01,23.0,30.88,33.26,1427,2356,6769,9087,9789,72.71,41937,30492,1.92,0.06,1.51,586,18,CHUBUT
CHUBUT_GAIMAN,"Gaiman, Chubut",LA LIBERTAD AVANZA,3.52,7.05,23.05,39.22,27.15,274,549,1795,3054,2114,75.11,10641,7992,1.23,0.1,1.25,98,8,CHUBUT
CHUBUT_GASTRE,"Gastre, Chubut",UNION POR LA PATRIA,2.94,6.8,14.34,34.74,41.18,16,37,78,189,224,50.0,1132,566,1.77,0.0,2.12,10,0,CHUBUT
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",UNION POR LA PATRIA,3.61,7.1,18.33,29.57,41.4,61,120,310,500,700,64.31,2740,1762,2.67,0.0,1.36,47,0,CHUBUT
CHUBUT_MARTIRES,"Martires, Chubut",LA LIBERTAD AVANZA,1.89,7.55,20.22,35.85,34.5,7,28,75,133,128,58.11,647,376,0.53,0.0,0.8,2,0,CHUBUT
CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",UNION POR LA PATRIA,1.52,4.86,22.7,30.5,40.43,15,48,224,301,399,61.13,1639,1002,1.0,0.0,0.5,10,0,CHUBUT
CHUBUT_RAWSON,"Rawson, Chubut",LA LIBERTAD AVANZA,4.91,9.25,21.89,34.39,29.56,4354,8200,19405,30486,26207,75.79,120357,91213,1.17,0.08,1.56,1067,71,CHUBUT
CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",UNION POR LA PATRIA,2.7,3.87,25.12,30.5,37.81,88,126,818,993,1231,65.65,5261,3454,4.83,0.06,0.84,167,2,CHUBUT
CHUBUT_SARMIENTO,"Sarmiento, Chubut",LA LIBERTAD AVANZA,2.88,6.63,19.04,40.34,31.12,223,513,1474,3123,2409,72.32,10999,7954,1.22,0.1,1.35,97,8,CHUBUT
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",UNION POR LA PATRIA,2.81,4.86,23.59,29.95,38.78,92,159,772,980,1269,66.16,5103,3376,1.75,0.03,1.3,59,1,CHUBUT
CHUBUT_TELSEN,"Telsen, Chubut",UNION POR LA PATRIA,4.96,8.36,22.58,27.81,36.29,38,64,173,213,278,54.95,1423,782,1.41,0.0,0.64,11,0,CHUBUT
