id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",LA LIBERTAD AVANZA,1.53,30.4,20.93,31.85,15.29,707,14038,9668,14708,7061,75.35,62570,47144,0.9,0.01,1.13,424,4,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",LA LIBERTAD AVANZA,1.65,29.52,23.8,32.41,12.63,14031,250854,202260,275445,107327,76.44,1130798,864343,0.79,0.04,0.85,6812,305,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",LA LIBERTAD AVANZA,1.49,28.27,22.59,35.48,12.16,2858,54238,43337,68074,23333,77.44,251972,195119,0.76,0.02,0.9,1482,48,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",HACEMOS POR NUESTRO PAIS,1.17,31.8,16.1,23.48,27.45,445,12113,6133,8945,10456,71.96,53688,38636,0.7,0.05,0.65,272,19,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",LA LIBERTAD AVANZA,0.89,25.26,23.68,37.59,12.58,189,5364,5028,7983,2671,72.86,29488,21484,0.74,0.03,0.38,160,7,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",LA LIBERTAD AVANZA,1.31,26.32,22.54,32.97,16.86,1198,24002,20551,30064,15371,76.26,121255,92472,0.7,0.04,0.66,646,33,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",HACEMOS POR NUESTRO PAIS,1.07,34.72,15.56,31.55,17.11,239,7739,3468,7032,3813,75.52,29902,22582,0.59,0.05,0.64,134,12,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",LA LIBERTAD AVANZA,1.03,28.74,19.78,39.19,11.26,436,12171,8377,16599,4768,77.09,55796,43012,0.85,0.01,0.67,366,5,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",LA LIBERTAD AVANZA,1.01,23.9,26.64,34.9,13.54,691,16296,18171,23803,9236,77.22,89691,69259,1.01,0.02,0.5,699,15,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",HACEMOS POR NUESTRO PAIS,0.64,44.76,16.4,20.28,17.92,21,1479,542,670,592,65.06,5155,3354,0.86,0.12,0.51,29,4,CORDOBA
