id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",UNION POR LA PATRIA,0.91,3.42,27.55,24.62,43.51,238,892,7192,6427,11359,79.11,33475,26483,0.74,0.02,0.65,196,6,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",JUNTOS POR EL CAMBIO,0.59,1.63,41.83,23.71,32.23,12,33,845,479,651,75.21,2739,2060,0.49,0.39,1.07,10,8,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",JUNTOS POR EL CAMBIO,1.38,2.61,36.23,32.26,27.53,3317,6272,87094,77547,66176,79.15,310286,245590,0.84,0.16,1.11,2068,390,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",UNION POR LA PATRIA,0.82,1.89,29.09,21.73,46.48,122,282,4342,3244,6938,78.31,19448,15229,1.12,0.03,0.83,170,4,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",UNION POR LA PATRIA,1.1,4.22,28.92,24.98,40.78,317,1211,8297,7167,11700,73.72,39753,29305,0.99,0.05,1.05,291,14,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",UNION POR LA PATRIA,0.96,2.07,33.09,24.06,39.82,109,235,3753,2729,4516,77.35,14965,11576,0.92,0.05,1.05,106,6,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",UNION POR LA PATRIA,0.56,3.37,24.09,21.66,50.32,124,741,5302,4769,11077,68.12,33153,22585,0.89,0.82,0.83,200,185,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",UNION POR LA PATRIA,0.52,2.24,35.85,19.81,41.59,26,111,1779,983,2064,69.55,7261,5050,0.61,0.06,1.05,31,3,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",UNION POR LA PATRIA,0.72,1.73,37.0,19.26,41.3,80,193,4132,2151,4613,76.5,14805,11326,0.72,0.08,0.58,82,9,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",UNION POR LA PATRIA,0.96,3.11,28.26,20.25,47.42,591,1923,17451,12506,29289,78.41,80246,62920,0.88,0.05,0.91,553,33,CORRIENTES
CORRIENTES_ITATI,"Itati, Corrientes",JUNTOS POR EL CAMBIO,0.43,1.29,42.43,21.06,34.78,31,92,3028,1503,2482,69.42,10387,7211,0.55,0.04,0.44,40,3,CORRIENTES
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",JUNTOS POR EL CAMBIO,0.9,2.73,34.66,30.0,31.71,249,755,9595,8305,8779,71.32,39556,28212,0.87,0.05,0.95,246,14,CORRIENTES
CORRIENTES_LAVALLE,"Lavalle, Corrientes",UNION POR LA PATRIA,0.56,1.97,24.27,19.4,53.81,119,418,5158,4123,11437,77.18,28410,21926,2.3,0.05,0.71,505,11,CORRIENTES
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",UNION POR LA PATRIA,0.66,1.27,32.58,15.41,50.08,48,92,2363,1118,3632,78.57,9386,7375,0.96,0.01,0.68,71,1,CORRIENTES
CORRIENTES_MERCEDES,"Mercedes, Corrientes",UNION POR LA PATRIA,0.93,3.83,27.66,28.55,39.03,263,1088,7863,8116,11095,76.9,38414,29539,2.67,0.17,0.93,789,49,CORRIENTES
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",UNION POR LA PATRIA,1.1,3.61,26.37,29.68,39.23,279,912,6657,7495,9906,76.81,33424,25672,0.87,0.04,0.73,224,11,CORRIENTES
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",UNION POR LA PATRIA,0.97,2.93,26.86,25.14,44.11,312,945,8666,8111,14235,69.98,47361,33144,1.73,0.04,0.87,574,13,CORRIENTES
CORRIENTES_SALADAS,"Saladas, Corrientes",UNION POR LA PATRIA,0.69,1.64,31.2,20.21,46.25,114,269,5120,3317,7590,80.92,20628,16693,0.81,0.1,0.78,136,17,CORRIENTES
