id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",UNION POR LA PATRIA,9.99,8.11,10.61,35.03,36.25,813,660,863,2850,2949,75.25,11195,8424,1.86,0.13,1.44,157,11,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,3.68,7.7,22.64,39.05,26.94,6453,13505,39727,68530,47278,78.36,229790,180071,1.41,0.07,1.07,2531,121,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,2.68,5.89,18.9,45.53,26.99,1818,3996,12815,30873,18304,82.16,84236,69205,1.11,0.09,0.82,765,64,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",UNION POR LA PATRIA,8.61,9.43,11.34,32.08,38.55,948,1038,1248,3532,4244,77.2,14728,11370,1.58,0.12,1.46,180,14,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",UNION POR LA PATRIA,2.8,5.86,15.53,33.82,42.0,1466,3066,8133,17708,21992,77.46,69266,53654,1.37,0.08,0.95,737,44,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,4.37,9.59,18.12,37.71,30.21,1625,3561,6732,14010,11221,78.46,48581,38119,1.43,0.05,1.06,547,19,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,2.94,3.6,16.3,25.97,51.18,31,38,172,274,540,64.99,1651,1073,1.12,0.09,0.47,12,1,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,2.34,5.55,26.2,39.09,26.83,112,266,1256,1874,1286,81.08,6037,4895,1.08,0.16,0.82,53,8,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,2.09,5.37,21.91,30.71,39.91,1072,2753,11226,15735,20451,79.62,65745,52344,1.26,0.02,0.83,661,12,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,1.02,2.22,25.96,26.84,43.97,124,269,3151,3258,5337,79.88,15463,12352,1.21,0.09,0.43,149,11,JUJUY
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,2.38,2.55,24.55,26.7,43.83,42,45,434,472,775,71.27,2555,1821,1.43,0.27,1.21,26,5,JUJUY
JUJUY_SUSQUES,"Susques, Jujuy",UNION POR LA PATRIA,6.57,5.11,15.38,33.58,39.35,140,109,328,716,839,64.13,3479,2231,2.6,0.0,1.84,58,0,JUJUY
JUJUY_TILCARA,"Tilcara, Jujuy",UNION POR LA PATRIA,5.7,5.28,13.85,33.5,41.66,506,468,1229,2972,3696,76.03,11966,9098,1.44,0.08,0.98,131,7,JUJUY
JUJUY_TUMBAYA,"Tumbaya, Jujuy",UNION POR LA PATRIA,3.77,3.57,25.78,29.87,37.01,152,144,1040,1205,1493,80.38,5128,4122,1.16,0.07,0.9,48,3,JUJUY
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",UNION POR LA PATRIA,1.42,1.6,35.11,14.72,47.16,8,9,198,83,266,19.61,2906,570,0.35,0.53,0.18,2,3,JUJUY
JUJUY_YAVI,"Yavi, Jujuy",UNION POR LA PATRIA,5.24,6.39,11.63,36.38,40.36,696,848,1543,4829,5356,75.0,18224,13668,1.43,0.08,1.38,196,11,JUJUY
