id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",LA LIBERTAD AVANZA,1.45,6.75,28.48,33.14,30.18,114,531,2240,2606,2373,78.81,10147,7997,0.84,0.01,0.81,67,1,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",UNION POR LA PATRIA,6.68,6.68,15.87,34.02,36.76,117,117,278,596,644,80.2,2237,1794,0.89,0.11,1.34,16,2,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",UNION POR LA PATRIA,2.9,8.01,19.7,28.65,40.74,2115,5851,14386,20923,29748,77.39,96085,74364,0.8,0.04,0.96,598,27,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",UNION POR LA PATRIA,1.13,4.82,17.7,37.97,38.39,64,274,1006,2158,2182,82.03,7057,5789,0.83,0.24,0.74,48,14,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,2.27,4.49,14.07,32.98,46.19,45,89,279,654,916,73.49,2731,2007,0.7,0.0,0.5,14,0,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,1.5,7.21,24.67,37.67,28.95,127,611,2091,3193,2454,77.75,11079,8614,0.82,0.06,0.72,71,5,LA PAMPA
LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,1.64,4.64,19.03,31.59,43.09,17,48,197,327,446,71.78,1474,1058,1.13,0.38,0.66,12,4,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",UNION POR LA PATRIA,1.6,6.73,21.03,34.94,35.7,161,678,2119,3520,3596,77.98,13150,10254,0.84,0.04,0.88,86,4,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",UNION POR LA PATRIA,2.63,3.09,12.67,22.72,58.89,17,20,82,147,381,73.51,891,655,0.46,0.15,0.61,3,1,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",LA LIBERTAD AVANZA,2.12,6.98,30.94,38.29,21.66,122,402,1781,2204,1247,70.7,8308,5874,1.55,0.03,0.43,91,2,LA PAMPA
LA PAMPA_HUCAL,"Hucal, La Pampa",LA LIBERTAD AVANZA,1.55,8.62,28.28,36.03,25.52,82,456,1496,1906,1350,75.2,7227,5435,1.12,0.15,1.4,61,8,LA PAMPA
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",UNION POR LA PATRIA,1.6,6.38,22.34,32.45,37.23,3,12,42,61,70,69.85,272,190,0.0,0.0,1.05,0,0,LA PAMPA
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",UNION POR LA PATRIA,0.0,1.83,11.01,32.11,55.05,0,2,12,35,60,28.57,385,110,0.91,0.0,0.0,1,0,LA PAMPA
LA PAMPA_LOVENTUE,"Loventue, La Pampa",UNION POR LA PATRIA,2.21,5.81,19.73,30.9,41.35,137,360,1222,1914,2561,77.14,8171,6303,0.98,0.06,0.68,62,4,LA PAMPA
LA PAMPA_MARACO,"Maraco, La Pampa",LA LIBERTAD AVANZA,2.6,8.17,22.41,36.35,30.47,1103,3467,9506,15417,12925,79.2,54710,43333,0.96,0.06,1.09,417,24,LA PAMPA
LA PAMPA_PUELEN,"Puelen, La Pampa",LA LIBERTAD AVANZA,1.7,8.26,15.72,45.6,28.73,118,573,1091,3165,1994,78.02,9080,7084,1.03,0.01,0.97,73,1,LA PAMPA
LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",LA LIBERTAD AVANZA,2.23,7.11,32.23,33.4,25.03,132,420,1905,1974,1479,76.96,7799,6002,0.67,0.03,0.83,40,2,LA PAMPA
LA PAMPA_RANCUL,"Rancul, La Pampa",UNION POR LA PATRIA,1.57,6.63,23.65,32.65,35.5,103,435,1551,2141,2328,68.89,9725,6700,1.09,0.04,0.99,73,3,LA PAMPA
LA PAMPA_REALICO,"Realico, La Pampa",LA LIBERTAD AVANZA,1.27,7.43,27.35,34.98,28.97,148,865,3185,4074,3374,77.93,15241,11878,0.85,0.06,1.04,101,7,LA PAMPA
LA PAMPA_TOAY,"Toay, La Pampa",UNION POR LA PATRIA,2.54,7.11,18.09,34.75,37.52,300,840,2138,4107,4435,80.41,14923,12000,0.66,0.01,0.83,79,1,LA PAMPA
LA PAMPA_TRENEL,"Trenel, La Pampa",UNION POR LA PATRIA,0.91,6.68,17.39,33.6,41.42,36,263,685,1323,1631,79.02,5057,3996,1.08,0.03,0.35,43,1,LA PAMPA
LA PAMPA_UTRACAN,"Utracan, La Pampa",LA LIBERTAD AVANZA,1.77,6.11,25.27,37.58,29.28,183,633,2619,3896,3035,73.96,14283,10563,0.97,0.05,0.85,102,5,LA PAMPA
