id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA RIOJA_ARAUCO,"Arauco, La Rioja",UNION POR LA PATRIA,0.59,5.17,8.63,41.18,44.43,60,524,875,4174,4503,79.17,13161,10419,1.84,0.08,0.8,192,8,LA RIOJA
LA RIOJA_CAPITAL,"Capital, La Rioja",LA LIBERTAD AVANZA,1.02,9.54,12.85,40.2,36.4,1324,12365,16661,52122,47197,80.73,163911,132333,1.22,0.05,0.75,1614,61,LA RIOJA
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",UNION POR LA PATRIA,0.62,5.06,10.34,28.2,55.78,26,211,431,1176,2326,82.34,5153,4243,1.13,0.07,0.52,48,3,LA RIOJA
LA RIOJA_CHAMICAL,"Chamical, La Rioja",UNION POR LA PATRIA,0.61,9.11,12.07,34.4,43.81,58,869,1152,3283,4181,76.89,12706,9770,1.48,0.04,0.8,145,4,LA RIOJA
LA RIOJA_CHILECITO,"Chilecito, La Rioja",LA LIBERTAD AVANZA,0.93,8.66,11.68,42.01,36.73,318,2960,3993,14366,12560,80.07,43967,35206,2.26,0.02,0.58,797,7,LA RIOJA
LA RIOJA_CORONEL FELIPE VARELA,"Coronel Felipe Varela, La Rioja",UNION POR LA PATRIA,0.93,5.53,9.49,32.6,51.45,67,399,685,2354,3715,81.66,9060,7398,2.05,0.01,0.34,152,1,LA RIOJA
LA RIOJA_FAMATINA,"Famatina, La Rioja",UNION POR LA PATRIA,1.06,6.39,12.93,30.07,49.55,46,278,563,1309,2157,81.71,5451,4454,1.48,0.02,0.76,66,1,LA RIOJA
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",UNION POR LA PATRIA,0.59,3.75,7.51,28.72,59.43,12,77,154,589,1219,78.62,2671,2100,1.48,0.29,0.57,31,6,LA RIOJA
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",UNION POR LA PATRIA,0.45,9.88,13.49,33.01,43.16,22,482,658,1610,2105,74.05,6743,4993,1.38,0.04,0.9,69,2,LA RIOJA
LA RIOJA_GENERAL JUAN F. QUIROGA,"General Juan F. Quiroga, La Rioja",UNION POR LA PATRIA,1.05,9.23,10.86,29.13,49.73,27,237,279,748,1277,75.82,3491,2647,2.72,0.04,0.23,72,1,LA RIOJA
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",UNION POR LA PATRIA,0.61,3.31,7.36,28.11,60.61,9,49,109,416,897,84.18,1782,1500,1.13,0.0,0.2,17,0,LA RIOJA
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",UNION POR LA PATRIA,0.65,5.71,6.87,23.58,63.2,33,291,350,1202,3222,77.46,6736,5218,1.86,0.06,0.38,97,3,LA RIOJA
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",UNION POR LA PATRIA,0.8,5.97,10.1,25.24,57.89,25,186,315,787,1805,75.94,4210,3197,1.56,0.03,0.88,50,1,LA RIOJA
LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",UNION POR LA PATRIA,0.86,4.72,8.28,21.23,64.91,17,93,163,418,1278,79.58,2512,1999,1.2,0.0,0.3,24,0,LA RIOJA
LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",UNION POR LA PATRIA,0.98,8.17,8.6,27.61,54.64,92,764,805,2583,5112,69.49,13764,9565,1.42,0.07,0.69,136,7,LA RIOJA
LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",UNION POR LA PATRIA,0.92,4.37,13.26,31.37,50.07,26,123,373,882,1408,80.86,3543,2865,1.15,0.0,0.7,33,0,LA RIOJA
LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",UNION POR LA PATRIA,0.73,6.67,8.17,28.5,55.93,19,174,213,743,1458,85.24,3097,2640,0.83,0.08,0.34,22,2,LA RIOJA
LA RIOJA_VINCHINA,"Vinchina, La Rioja",UNION POR LA PATRIA,0.45,5.49,11.09,26.83,56.14,8,97,196,474,992,74.09,2451,1816,2.26,0.22,0.22,41,4,LA RIOJA
