id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",UNION POR LA PATRIA,0.98,2.64,7.97,37.49,50.92,172,464,1399,6579,8936,70.54,26247,18514,5.11,0.01,0.09,946,1,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",LA LIBERTAD AVANZA,1.31,3.85,16.72,40.43,37.69,374,1099,4774,11542,10761,78.89,37200,29346,2.05,0.05,0.61,602,15,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",LA LIBERTAD AVANZA,1.18,3.93,8.78,44.7,41.4,406,1356,3028,15416,14278,76.94,47081,36225,4.43,0.01,0.36,1604,5,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",UNION POR LA PATRIA,1.22,3.89,13.95,37.88,43.06,266,846,3033,8236,9362,76.18,29370,22373,2.17,0.05,0.6,485,11,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",LA LIBERTAD AVANZA,1.42,4.85,20.56,40.93,32.24,3108,10642,45084,89756,70709,76.07,296496,225555,1.99,0.08,0.7,4494,183,MISIONES
MISIONES_CONCEPCION,"Concepcion, Misiones",UNION POR LA PATRIA,0.96,3.52,24.56,28.98,42.0,56,206,1439,1698,2461,74.89,8072,6045,2.71,0.0,0.35,164,0,MISIONES
MISIONES_ELDORADO,"Eldorado, Misiones",LA LIBERTAD AVANZA,2.62,4.53,11.59,42.68,38.58,1354,2339,5991,22055,19934,76.68,69540,53325,2.37,0.07,0.66,1262,37,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",LA LIBERTAD AVANZA,1.27,3.35,8.26,47.24,39.88,330,873,2151,12297,10382,71.77,37647,27021,3.13,0.02,0.5,847,6,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",LA LIBERTAD AVANZA,1.09,3.25,8.23,44.29,43.14,451,1344,3399,18292,17819,72.5,61046,44258,6.13,0.02,0.52,2714,11,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",LA LIBERTAD AVANZA,1.37,4.11,13.05,46.51,34.97,761,2287,7268,25901,19478,73.68,77611,57183,1.92,0.06,0.62,1098,37,MISIONES
MISIONES_LEANDRO N. ALEM,"Leandro N. Alem, Misiones",LA LIBERTAD AVANZA,1.03,4.13,13.56,45.55,35.73,331,1323,4343,14587,11443,80.26,41624,33409,3.55,0.07,0.52,1187,22,MISIONES
MISIONES_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Misiones",LA LIBERTAD AVANZA,1.06,3.91,12.31,45.57,37.16,329,1218,3837,14202,11580,77.91,41274,32157,2.48,0.04,0.56,796,14,MISIONES
MISIONES_MONTECARLO,"Montecarlo, Misiones",LA LIBERTAD AVANZA,1.6,4.51,11.24,41.47,41.18,362,1019,2542,9374,9310,76.7,30117,23101,1.53,0.05,0.56,354,11,MISIONES
MISIONES_OBERA,"Obera, Misiones",LA LIBERTAD AVANZA,1.24,3.83,13.07,42.95,38.91,867,2671,9123,29977,27163,77.09,93381,71987,2.52,0.02,0.49,1817,17,MISIONES
MISIONES_SAN IGNACIO,"San Ignacio, Misiones",UNION POR LA PATRIA,0.97,3.5,12.52,39.61,43.4,357,1290,4621,14618,16015,76.15,49830,37947,2.27,0.06,0.42,862,23,MISIONES
MISIONES_SAN JAVIER,"San Javier, Misiones",UNION POR LA PATRIA,1.03,2.75,13.06,37.5,45.67,140,375,1781,5116,6230,76.05,18653,14186,3.26,0.07,0.5,463,10,MISIONES
MISIONES_SAN PEDRO,"San Pedro, Misiones",UNION POR LA PATRIA,2.17,3.58,5.68,34.9,53.67,372,614,974,5983,9201,75.12,24015,18039,4.85,0.02,0.09,875,3,MISIONES
