id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
NEUQUEN_ALUMINE,"Alumine, Neuquen",UNION POR LA PATRIA,4.46,7.19,17.15,31.76,39.45,274,442,1054,1952,2425,77.17,8566,6610,5.1,0.15,1.75,337,10,NEUQUEN
NEUQUEN_AÑELO,"Añelo, Neuquen",LA LIBERTAD AVANZA,2.58,3.88,9.19,48.96,35.39,291,437,1035,5513,3985,74.6,15809,11794,2.81,0.19,1.53,331,22,NEUQUEN
NEUQUEN_CATAN LIL,"Catan Lil, Neuquen",UNION POR LA PATRIA,4.77,7.63,12.49,17.45,57.67,50,80,131,183,605,72.55,1610,1168,9.5,0.0,0.68,111,0,NEUQUEN
NEUQUEN_CHOS MALAL,"Chos Malal, Neuquen",UNION POR LA PATRIA,4.08,7.53,22.02,30.44,35.92,404,745,2178,3011,3553,75.09,13976,10494,4.38,0.08,1.29,460,8,NEUQUEN
NEUQUEN_COLLON CURA,"Collon Cura, Neuquen",UNION POR LA PATRIA,3.1,8.56,17.43,32.46,38.45,88,243,495,922,1092,75.57,4032,3047,5.28,0.03,1.48,161,1,NEUQUEN
NEUQUEN_CONFLUENCIA,"Confluencia, Neuquen",LA LIBERTAD AVANZA,5.47,5.7,20.84,36.66,31.33,15565,16202,59268,104272,89099,81.64,361411,295073,1.99,0.11,1.51,5871,330,NEUQUEN
NEUQUEN_HUILICHES,"Huiliches, Neuquen",UNION POR LA PATRIA,5.11,7.14,20.54,30.34,36.87,585,817,2352,3474,4222,79.01,15405,12171,4.09,0.04,1.79,498,5,NEUQUEN
NEUQUEN_LACAR,"Lacar, Neuquen",LA LIBERTAD AVANZA,5.26,6.27,28.2,34.58,25.69,1245,1484,6674,8185,6080,74.24,33316,24734,2.15,0.06,2.09,533,15,NEUQUEN
NEUQUEN_LONCOPUE,"Loncopue, Neuquen",UNION POR LA PATRIA,3.34,7.44,14.84,32.77,41.61,148,330,658,1453,1845,82.57,5927,4894,7.62,0.12,1.66,373,6,NEUQUEN
NEUQUEN_LOS LAGOS,"Los Lagos, Neuquen",LA LIBERTAD AVANZA,4.55,6.91,27.52,35.66,25.36,414,629,2504,3244,2307,71.14,13610,9682,4.68,0.14,1.21,453,14,NEUQUEN
NEUQUEN_MINAS,"Minas, Neuquen",UNION POR LA PATRIA,4.82,8.19,17.5,30.6,38.89,248,421,900,1574,2000,78.4,7430,5825,9.41,0.09,2.21,548,5,NEUQUEN
NEUQUEN_PEHUENCHES,"Pehuenches, Neuquen",LA LIBERTAD AVANZA,2.2,6.04,10.67,49.98,31.11,361,991,1751,8203,5106,76.0,22729,17274,3.53,0.01,1.45,610,2,NEUQUEN
NEUQUEN_PICUN LEUFU,"Picun Leufu, Neuquen",UNION POR LA PATRIA,3.98,7.05,11.99,32.01,44.97,123,218,371,990,1391,75.33,4358,3283,4.02,0.09,1.68,132,3,NEUQUEN
NEUQUEN_PICUNCHES,"Picunches, Neuquen",LA LIBERTAD AVANZA,2.28,5.28,24.93,39.6,27.9,106,245,1157,1838,1295,78.26,6358,4976,5.33,0.02,1.39,265,1,NEUQUEN
NEUQUEN_ZAPALA,"Zapala, Neuquen",LA LIBERTAD AVANZA,4.58,6.59,22.3,36.58,29.95,1214,1747,5909,9694,7938,80.33,34653,27836,3.2,0.02,1.57,890,6,NEUQUEN
NEUQUEN_ÑORQUIN,"Ñorquin, Neuquen",UNION POR LA PATRIA,3.76,5.66,15.08,27.27,48.23,122,184,490,886,1567,74.36,4887,3634,9.49,0.03,1.07,345,1,NEUQUEN
