id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",UNION POR LA PATRIA,2.85,4.27,14.06,26.96,51.85,231,346,1139,2184,4200,71.09,12881,9157,10.08,0.19,1.28,923,17,RIO NEGRO
RIO NEGRO_9 DE JULIO,"9 De Julio, Rio Negro",UNION POR LA PATRIA,1.43,3.54,9.27,26.53,59.23,30,74,194,555,1239,76.52,3216,2461,13.65,0.49,0.85,336,12,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",UNION POR LA PATRIA,3.56,6.3,20.66,31.53,37.95,1517,2680,8797,13423,16156,76.18,58223,44357,2.2,0.49,1.33,977,219,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",UNION POR LA PATRIA,2.59,5.73,15.92,36.55,39.21,619,1366,3799,8719,9353,78.66,31927,25115,3.31,0.26,1.44,831,66,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",UNION POR LA PATRIA,5.24,8.17,19.94,27.13,39.52,4859,7577,18494,25169,36657,74.26,129508,96177,2.07,0.08,1.41,1990,76,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",LA LIBERTAD AVANZA,2.55,5.26,16.85,38.61,36.74,104,214,686,1572,1496,71.77,5869,4212,2.09,0.19,1.04,88,8,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",UNION POR LA PATRIA,5.16,4.27,11.48,30.3,48.78,121,100,269,710,1143,71.61,3459,2477,3.19,0.2,2.02,79,5,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",LA LIBERTAD AVANZA,4.0,5.53,17.45,37.23,35.79,8944,12365,38998,83233,80004,79.57,293624,233642,2.67,0.15,1.51,6241,340,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",UNION POR LA PATRIA,2.84,6.74,21.06,34.38,34.97,268,635,1985,3240,3296,74.97,13054,9787,2.35,0.17,1.19,230,17,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",UNION POR LA PATRIA,3.82,6.55,19.32,25.7,44.61,236,404,1192,1586,2753,74.99,8626,6469,3.22,0.12,1.27,208,8,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio, Rio Negro",UNION POR LA PATRIA,3.08,7.57,17.31,33.07,38.97,632,1553,3551,6783,7995,72.3,30021,21706,4.22,0.06,1.21,917,12,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",UNION POR LA PATRIA,2.77,4.82,15.88,28.06,48.47,74,129,425,751,1297,67.73,4131,2798,1.64,0.25,2.47,46,7,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",UNION POR LA PATRIA,1.77,4.93,10.11,14.16,69.03,14,39,80,112,546,59.9,1429,856,6.66,0.0,0.93,57,0,RIO NEGRO
