id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SALTA_ANTA,"Anta, Salta",UNION POR LA PATRIA,0.75,3.4,11.67,35.09,49.09,253,1148,3945,11863,16596,65.79,52546,34568,1.46,0.14,0.61,505,48,SALTA
SALTA_CACHI,"Cachi, Salta",LA LIBERTAD AVANZA,1.75,4.2,14.14,41.69,38.23,94,226,761,2244,2058,73.22,7561,5536,2.06,0.04,0.67,114,2,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",UNION POR LA PATRIA,1.87,9.21,11.89,37.17,39.85,189,929,1199,3748,4018,71.46,14459,10332,1.66,0.1,0.66,171,10,SALTA
SALTA_CAPITAL,"Capital, Salta",LA LIBERTAD AVANZA,2.41,7.88,17.2,43.79,28.72,8091,26430,57663,146818,96286,76.24,451114,343909,1.12,0.2,1.18,3860,694,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",LA LIBERTAD AVANZA,1.84,6.49,13.37,46.63,31.67,593,2091,4304,15011,10195,76.98,42606,32800,0.89,0.16,0.8,293,51,SALTA
SALTA_CHICOANA,"Chicoana, Salta",LA LIBERTAD AVANZA,1.35,5.48,13.79,47.33,32.05,193,782,1968,6755,4574,74.66,19493,14554,1.14,0.15,0.65,166,22,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",UNION POR LA PATRIA,1.63,5.3,11.36,40.36,41.35,514,1671,3580,12719,13032,76.04,42186,32079,0.83,0.19,0.73,267,61,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"General Jose De San Martin, Salta",UNION POR LA PATRIA,0.99,3.37,8.96,31.93,54.75,907,3095,8236,29339,50297,66.54,140473,93471,0.84,0.16,0.71,786,151,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",LA LIBERTAD AVANZA,0.88,3.72,13.45,43.36,38.6,21,89,322,1038,924,73.35,3351,2458,1.83,0.24,0.53,45,6,SALTA
SALTA_IRUYA,"Iruya, Salta",UNION POR LA PATRIA,0.16,2.24,3.2,37.04,57.36,2,28,40,463,717,25.63,4991,1279,2.03,0.08,0.16,26,1,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",LA LIBERTAD AVANZA,1.89,6.03,19.3,43.14,29.63,215,685,2191,4897,3363,72.17,15973,11528,0.71,0.23,0.59,82,27,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",UNION POR LA PATRIA,0.83,4.22,9.9,37.74,47.3,32,162,380,1449,1816,67.96,5755,3911,0.84,0.18,0.82,33,7,SALTA
SALTA_LA POMA,"La Poma, Salta",UNION POR LA PATRIA,1.03,4.48,5.88,33.71,54.9,11,48,63,361,588,73.58,1495,1100,2.18,0.09,0.36,24,1,SALTA
SALTA_LA VIÑA,"La Viña, Salta",LA LIBERTAD AVANZA,0.75,5.08,11.49,43.22,39.47,41,278,628,2363,2158,68.33,8130,5555,0.7,0.16,0.7,39,9,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",LA LIBERTAD AVANZA,2.1,5.76,7.02,43.22,41.9,87,239,291,1792,1737,64.03,6628,4244,1.48,0.07,0.75,63,3,SALTA
SALTA_METAN,"Metan, Salta",UNION POR LA PATRIA,1.2,7.66,13.23,36.94,40.97,305,1945,3358,9378,10400,70.98,36396,25834,0.84,0.14,0.75,218,36,SALTA
SALTA_MOLINOS,"Molinos, Salta",UNION POR LA PATRIA,0.49,2.35,9.0,39.46,48.69,18,86,329,1442,1779,73.98,5050,3736,1.74,0.11,0.35,65,4,SALTA
SALTA_ORAN,"Oran, Salta",UNION POR LA PATRIA,1.36,5.18,11.35,40.36,41.75,1128,4287,9393,33405,34550,68.51,123279,84464,1.12,0.15,0.74,950,128,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",UNION POR LA PATRIA,0.54,1.21,3.98,18.81,75.47,86,193,634,3000,12036,54.42,29942,16294,0.67,0.94,0.51,109,153,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",UNION POR LA PATRIA,0.99,7.68,13.65,32.43,45.25,177,1374,2440,5798,8092,68.89,26550,18290,1.3,0.21,0.73,237,38,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",LA LIBERTAD AVANZA,1.67,6.64,15.01,44.13,32.55,501,1986,4494,13208,9742,78.75,38991,30706,1.36,0.2,0.97,417,60,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",UNION POR LA PATRIA,1.48,4.26,8.9,32.57,52.79,64,185,386,1413,2290,67.07,6592,4421,1.18,0.07,0.63,52,3,SALTA
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",LA LIBERTAD AVANZA,0.89,2.66,6.36,49.19,40.9,11,33,79,611,508,15.47,8231,1273,0.55,0.08,1.81,7,1,SALTA
