id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",UNION POR LA PATRIA,1.97,4.84,15.4,31.62,46.17,208,511,1626,3339,4876,72.61,14919,10832,1.84,0.06,0.61,199,7,SAN JUAN
SAN JUAN_9 DE JULIO,"9 De Julio, San Juan",LA LIBERTAD AVANZA,2.31,4.79,16.72,38.74,37.43,162,336,1172,2715,2623,75.84,9468,7181,1.59,0.17,0.65,114,12,SAN JUAN
SAN JUAN_ALBARDON,"Albardon, San Juan",LA LIBERTAD AVANZA,2.32,5.36,16.56,39.78,35.98,379,875,2701,6489,5869,74.75,22491,16812,1.92,0.14,0.91,323,23,SAN JUAN
SAN JUAN_ANGACO,"Angaco, San Juan",LA LIBERTAD AVANZA,2.38,5.47,19.6,37.29,35.26,139,319,1143,2175,2057,71.57,8336,5966,1.24,0.02,0.97,74,1,SAN JUAN
SAN JUAN_CALINGASTA,"Calingasta, San Juan",LA LIBERTAD AVANZA,2.16,5.16,22.88,38.73,31.07,121,289,1281,2169,1740,67.65,8642,5846,2.93,0.0,1.28,171,0,SAN JUAN
SAN JUAN_CAPITAL,"Capital, San Juan",JUNTOS POR EL CAMBIO,1.95,6.28,36.37,32.36,23.04,1337,4310,24955,22204,15810,74.53,93773,69892,0.95,0.05,0.82,664,38,SAN JUAN
SAN JUAN_CAUCETE,"Caucete, San Juan",UNION POR LA PATRIA,2.17,5.51,17.49,31.12,43.72,515,1307,4149,7383,10373,75.87,31818,24140,1.02,0.04,0.65,247,9,SAN JUAN
SAN JUAN_CHIMBAS,"Chimbas, San Juan",UNION POR LA PATRIA,2.58,6.35,16.42,36.79,37.85,1352,3319,8590,19246,19800,73.34,73432,53854,1.6,0.1,1.18,861,53,SAN JUAN
SAN JUAN_IGLESIA,"Iglesia, San Juan",LA LIBERTAD AVANZA,2.05,5.46,24.86,36.71,30.92,111,296,1347,1989,1675,69.79,8007,5588,2.09,0.05,0.89,117,3,SAN JUAN
SAN JUAN_JACHAL,"Jachal, San Juan",UNION POR LA PATRIA,2.18,5.81,18.37,24.11,49.53,336,894,2826,3709,7620,78.8,20009,15767,1.43,0.06,0.94,225,9,SAN JUAN
SAN JUAN_POCITO,"Pocito, San Juan",LA LIBERTAD AVANZA,2.45,6.14,15.47,40.76,35.17,884,2214,5575,14692,12678,74.73,49540,37020,1.69,0.05,0.9,627,17,SAN JUAN
SAN JUAN_RAWSON,"Rawson, San Juan",LA LIBERTAD AVANZA,2.55,7.51,19.45,37.69,32.8,1847,5434,14085,27288,23744,73.99,100356,74254,1.26,0.17,1.07,939,125,SAN JUAN
SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",LA LIBERTAD AVANZA,2.19,6.43,29.07,33.61,28.7,1246,3659,16550,19130,16337,77.68,75056,58304,1.38,0.09,0.91,804,50,SAN JUAN
SAN JUAN_SAN MARTIN,"San Martin, San Juan",UNION POR LA PATRIA,2.14,7.1,13.89,34.99,41.88,179,594,1163,2929,3506,82.97,10459,8678,2.54,0.08,0.92,220,7,SAN JUAN
SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",LA LIBERTAD AVANZA,2.15,5.79,31.81,34.6,25.65,725,1947,10703,11641,8632,76.77,44965,34518,1.4,0.03,1.08,484,12,SAN JUAN
SAN JUAN_SARMIENTO,"Sarmiento, San Juan",LA LIBERTAD AVANZA,1.66,4.35,23.28,36.23,34.48,245,643,3439,5353,5095,77.06,19695,15176,1.62,0.03,0.99,246,5,SAN JUAN
SAN JUAN_ULLUM,"Ullum, San Juan",UNION POR LA PATRIA,2.61,0.0,11.27,26.35,59.76,90,0,388,907,2057,73.4,4779,3508,1.57,0.09,0.23,55,3,SAN JUAN
SAN JUAN_VALLE FERTIL,"Valle Fertil, San Juan",UNION POR LA PATRIA,1.77,7.03,22.36,32.15,36.69,80,318,1012,1455,1660,67.21,6871,4618,1.36,0.0,0.65,63,0,SAN JUAN
SAN JUAN_ZONDA,"Zonda, San Juan",UNION POR LA PATRIA,2.28,5.36,13.66,33.34,45.35,69,162,413,1008,1371,64.27,4797,3083,1.33,0.06,0.55,41,2,SAN JUAN
