id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTA FE_9 DE JULIO,"9 De Julio, Santa Fe",LA LIBERTAD AVANZA,0.96,6.29,22.44,40.9,29.4,172,1130,4029,7342,5278,67.95,26821,18226,0.78,0.08,0.65,142,14,SANTA FE
SANTA FE_BELGRANO,"Belgrano, Santa Fe",LA LIBERTAD AVANZA,1.12,13.78,27.86,36.9,20.33,333,4093,8272,10957,6038,76.85,39428,30302,1.17,0.01,0.83,354,2,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",LA LIBERTAD AVANZA,1.67,13.25,29.62,33.89,21.58,899,7131,15939,18238,11612,76.0,72338,54979,1.07,0.04,1.0,587,21,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",LA LIBERTAD AVANZA,1.21,14.78,29.57,35.36,19.08,1350,16537,33085,39564,21353,75.51,150951,113988,0.82,0.05,0.97,933,60,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",UNION POR LA PATRIA,2.12,11.01,24.6,30.63,31.65,1229,6378,14256,17747,18339,77.09,76806,59210,1.01,0.05,1.07,599,27,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",LA LIBERTAD AVANZA,0.99,5.35,25.29,36.1,32.26,133,716,3381,4827,4314,68.51,19909,13639,0.87,0.07,1.03,118,9,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",LA LIBERTAD AVANZA,1.51,10.83,29.94,36.14,21.58,1856,13354,36915,44550,26609,75.25,166983,125654,0.95,0.01,0.93,1193,12,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",LA LIBERTAD AVANZA,1.06,7.21,24.83,34.42,32.48,1185,8056,27734,38440,36272,73.72,154178,113662,0.76,0.05,0.94,859,52,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",LA LIBERTAD AVANZA,1.66,12.75,25.82,35.16,24.61,744,5710,11564,15749,11021,76.39,59844,45716,1.11,0.0,0.92,507,0,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",LA LIBERTAD AVANZA,1.84,8.15,27.81,31.56,30.63,5661,25068,85542,97083,94217,68.67,457995,314516,0.83,0.08,1.3,2615,255,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",LA LIBERTAD AVANZA,1.14,10.16,29.81,41.75,17.15,766,6852,20094,28144,11560,75.56,91062,68809,0.95,0.07,1.0,655,48,SANTA FE
SANTA FE_ROSARIO,"Rosario, Santa Fe",UNION POR LA PATRIA,2.56,7.16,26.82,28.9,34.56,19504,54449,203995,219820,262897,73.77,1056533,779396,0.92,0.06,1.42,7157,502,SANTA FE
SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",LA LIBERTAD AVANZA,1.02,12.83,25.91,35.07,25.18,416,5221,10545,14275,10249,68.35,60559,41392,0.79,0.08,0.79,325,35,SANTA FE
SANTA FE_SAN JAVIER,"San Javier, Santa Fe",UNION POR LA PATRIA,0.9,7.61,24.38,30.91,36.21,166,1410,4519,5728,6710,67.91,27930,18966,1.05,0.01,1.22,200,1,SANTA FE
SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",LA LIBERTAD AVANZA,1.37,10.55,26.71,34.1,27.27,688,5278,13367,17065,13648,72.8,70210,51110,1.1,0.03,0.96,562,13,SANTA FE
SANTA FE_SAN JUSTO,"San Justo, Santa Fe",LA LIBERTAD AVANZA,0.93,10.13,27.75,37.37,23.82,246,2680,7342,9888,6304,72.31,37293,26968,0.75,0.01,1.12,202,3,SANTA FE
SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",LA LIBERTAD AVANZA,2.1,9.37,22.06,36.75,29.72,2489,11091,26104,43498,35170,77.0,157360,121169,0.94,0.17,1.21,1145,202,SANTA FE
SANTA FE_SAN MARTIN,"San Martin, Santa Fe",LA LIBERTAD AVANZA,1.04,14.67,27.5,37.92,18.87,425,5984,11214,15461,7693,75.44,55164,41618,0.79,0.0,1.23,327,1,SANTA FE
SANTA FE_VERA,"Vera, Santa Fe",UNION POR LA PATRIA,0.95,6.77,22.21,30.91,39.16,291,2067,6780,9437,11957,67.12,46430,31166,1.0,0.04,0.99,311,14,SANTA FE
