id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTIAGO DEL ESTERO_AGUIRRE,"Aguirre, Santiago Del Estero",UNION POR LA PATRIA,0.61,2.07,18.51,21.64,57.18,32,109,977,1142,3018,72.13,7468,5387,1.34,0.11,0.58,72,6,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ALBERDI,"Alberdi, Santiago Del Estero",UNION POR LA PATRIA,0.45,0.86,4.71,19.36,74.63,44,84,459,1888,7279,68.25,14465,9872,0.85,0.1,0.24,84,10,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_ATAMISQUI,"Atamisqui, Santiago Del Estero",UNION POR LA PATRIA,0.56,1.29,2.89,15.98,79.29,46,105,236,1305,6477,76.91,10763,8278,0.74,0.23,0.35,61,19,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_AVELLANEDA,"Avellaneda, Santiago Del Estero",UNION POR LA PATRIA,0.88,1.32,4.84,17.32,75.64,133,199,730,2612,11407,77.28,19748,15261,0.77,0.14,0.27,117,22,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BANDA,"Banda, Santiago Del Estero",UNION POR LA PATRIA,1.37,2.16,7.75,24.28,64.43,1385,2189,7840,24562,65175,77.64,133636,103755,1.56,0.18,0.77,1617,186,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_BELGRANO,"Belgrano, Santiago Del Estero",UNION POR LA PATRIA,1.02,2.48,12.83,40.21,43.47,64,156,808,2532,2737,78.34,8177,6406,1.06,0.11,0.53,68,7,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CAPITAL,"Capital, Santiago Del Estero",UNION POR LA PATRIA,1.91,2.54,11.37,26.5,57.68,3786,5020,22506,52471,114186,78.95,257320,203155,1.57,0.16,0.82,3192,324,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_CHOYA,"Choya, Santiago Del Estero",UNION POR LA PATRIA,1.34,3.6,6.79,17.63,70.63,331,887,1674,4345,17402,77.95,32224,25117,1.1,0.12,0.68,277,30,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_COPO,"Copo, Santiago Del Estero",UNION POR LA PATRIA,0.82,1.59,4.75,20.01,72.84,157,304,910,3837,13970,73.95,26264,19423,0.91,0.11,0.24,177,21,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_FIGUEROA,"Figueroa, Santiago Del Estero",UNION POR LA PATRIA,0.53,1.02,2.56,8.11,87.77,59,113,284,900,9736,72.75,15389,11196,0.46,0.11,0.36,52,12,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GENERAL TABOADA,"General Taboada, Santiago Del Estero",UNION POR LA PATRIA,0.82,2.13,6.68,22.26,68.11,230,594,1866,6213,19011,77.0,36912,28423,1.17,0.13,0.49,332,37,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_GUASAYAN,"Guasayan, Santiago Del Estero",UNION POR LA PATRIA,0.9,1.29,4.99,14.5,78.32,51,73,283,822,4441,74.46,7698,5732,0.73,0.1,0.24,42,6,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JIMENEZ,"Jimenez, Santiago Del Estero",UNION POR LA PATRIA,0.47,0.87,3.13,14.48,81.05,42,77,278,1287,7203,73.17,12302,9001,0.7,0.26,0.31,63,23,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_JUAN F. IBARRA,"Juan F. Ibarra, Santiago Del Estero",UNION POR LA PATRIA,0.71,1.41,5.81,18.69,73.38,77,154,633,2035,7992,75.86,14559,11045,0.96,0.09,0.34,106,10,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_LORETO,"Loreto, Santiago Del Estero",UNION POR LA PATRIA,0.87,2.5,6.71,23.69,66.24,125,360,968,3416,9553,76.37,19250,14702,1.21,0.16,0.53,178,24,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MITRE,"Mitre, Santiago Del Estero",UNION POR LA PATRIA,0.46,2.75,18.47,21.07,57.25,3,18,121,138,375,63.37,1062,673,1.49,0.74,0.45,10,5,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_MORENO,"Moreno, Santiago Del Estero",UNION POR LA PATRIA,0.52,1.57,6.07,25.74,66.1,117,353,1361,5774,14830,76.55,29750,22774,0.94,0.18,0.36,214,42,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_OJO DE AGUA,"Ojo De Agua, Santiago Del Estero",UNION POR LA PATRIA,0.7,4.87,8.34,24.6,61.48,68,470,805,2373,5931,74.44,13289,9892,1.62,0.25,0.61,160,25,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_PELLEGRINI,"Pellegrini, Santiago Del Estero",UNION POR LA PATRIA,0.38,0.92,4.3,16.35,78.05,54,131,611,2322,11086,75.92,18943,14382,0.89,0.16,0.19,128,23,SANTIAGO DEL ESTERO
SANTIAGO DEL ESTERO_QUEBRACHOS,"Quebrachos, Santiago Del Estero",UNION POR LA PATRIA,1.08,5.37,10.17,30.44,52.94,64,319,604,1807,3143,69.52,8691,6042,0.81,0.3,0.63,49,18,SANTIAGO DEL ESTERO
