id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",UNION POR LA PATRIA,0.74,1.89,6.56,26.69,64.12,222,563,1956,7960,19127,79.03,38421,30364,1.36,0.03,0.38,412,9,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",LA LIBERTAD AVANZA,1.92,4.96,19.99,37.86,35.26,6799,17570,70807,134068,124880,79.87,460293,367623,2.59,0.08,1.01,9506,296,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",UNION POR LA PATRIA,1.04,3.95,15.7,33.3,46.0,590,2241,8898,18871,26068,82.37,70534,58101,1.77,0.01,0.69,1029,3,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",UNION POR LA PATRIA,1.54,2.95,8.02,34.45,53.04,2197,4207,11459,49213,75761,84.38,174044,146863,1.94,0.07,0.73,2852,105,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",UNION POR LA PATRIA,0.97,3.29,8.09,36.37,51.28,257,872,2143,9638,13591,82.96,32781,27195,1.81,0.02,0.72,492,5,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",UNION POR LA PATRIA,0.61,2.04,6.54,20.99,69.83,61,205,658,2113,7029,81.47,12607,10271,1.66,0.02,0.31,171,2,TUCUMAN
TUCUMAN_JUAN BAUTISTA ALBERDI,"Juan Bautista Alberdi, Tucuman",UNION POR LA PATRIA,0.8,3.22,12.89,32.07,51.02,173,694,2778,6909,10992,80.86,27193,21988,1.52,0.02,0.47,335,4,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",UNION POR LA PATRIA,0.59,2.33,8.76,31.05,57.27,82,324,1218,4317,7961,83.28,17054,14203,1.5,0.01,0.61,213,1,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",UNION POR LA PATRIA,0.66,2.38,12.63,26.93,57.41,275,992,5262,11221,23924,83.13,51229,42585,1.48,0.04,0.62,631,18,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",UNION POR LA PATRIA,1.06,4.11,12.55,39.03,43.25,495,1918,5859,18228,20199,83.26,57830,48151,2.05,0.12,0.84,987,59,TUCUMAN
TUCUMAN_MONTEROS,"Monteros, Tucuman",UNION POR LA PATRIA,0.94,3.56,8.98,28.86,57.66,449,1705,4300,13817,27605,83.92,58197,48841,1.52,0.03,0.43,741,16,TUCUMAN
TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",UNION POR LA PATRIA,0.88,3.11,8.29,26.28,61.44,373,1313,3504,11107,25969,84.23,51352,43254,1.85,0.03,0.4,802,13,TUCUMAN
TUCUMAN_SIMOCA,"Simoca, Tucuman",UNION POR LA PATRIA,0.56,2.33,8.53,24.96,63.62,134,561,2053,6006,15310,83.38,29332,24458,1.29,0.0,0.32,315,1,TUCUMAN
TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",UNION POR LA PATRIA,1.53,3.53,8.66,31.02,55.25,194,448,1098,3932,7003,79.98,16366,13089,1.96,0.21,0.99,257,28,TUCUMAN
TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",LA LIBERTAD AVANZA,1.78,4.96,12.1,41.11,40.05,1784,4961,12111,41138,40079,81.97,126027,103310,1.99,0.13,1.01,2054,135,TUCUMAN
TUCUMAN_TRANCAS,"Trancas, Tucuman",UNION POR LA PATRIA,0.79,3.39,9.25,37.28,49.28,106,453,1236,4982,6585,80.94,17019,13776,2.05,0.14,0.81,283,19,TUCUMAN
TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",LA LIBERTAD AVANZA,1.52,4.83,28.08,35.48,30.09,961,3059,17790,22472,19062,82.48,79214,65333,2.04,0.17,0.83,1336,109,TUCUMAN
