id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,1.26,0.0,0.17,1.36,40.25,26.92,0.23,0.23,0.2,0.17,0.26,0.26,0.0,0.0,28.67,253,0,35,272,8076,5401,47,46,41,35,53,53,0,1,5753,70.17,31685,22234,8.93,0.25,0.57,1986,55,BUENOS AIRES
BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",JUNTOS POR EL CAMBIO,1.56,0.32,0.18,1.4,45.36,28.01,0.18,0.26,0.29,0.61,0.14,0.47,0.11,0.0,21.09,425,88,49,381,12351,7626,48,72,78,167,39,129,31,0,5742,67.96,43235,29384,6.51,0.03,0.8,1914,9,BUENOS AIRES
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,0.76,0.0,0.16,2.01,44.38,28.05,0.23,0.22,0.23,0.14,0.17,0.37,0.0,0.0,23.29,66,0,14,175,3865,2443,20,19,20,12,15,32,0,0,2028,66.23,14489,9596,8.69,0.19,0.36,834,18,BUENOS AIRES
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",JUNTOS POR EL CAMBIO,1.15,0.03,0.08,1.8,35.57,25.61,0.16,0.23,0.43,0.07,0.13,0.56,0.0,0.0,34.18,70,2,5,110,2171,1563,10,14,26,4,8,34,0,0,2086,66.92,10829,7247,14.27,0.28,1.24,1034,20,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",JUNTOS POR EL CAMBIO,1.04,0.17,0.14,1.8,39.84,21.91,0.12,0.15,0.21,0.63,0.06,0.8,0.03,0.0,33.11,69,11,9,119,2639,1451,8,10,14,42,4,53,2,0,2193,74.99,9651,7237,8.46,0.01,0.0,612,1,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.68,0.26,0.32,1.32,24.21,26.17,0.54,0.24,0.49,0.57,0.27,1.19,0.33,0.12,39.28,13408,755,929,3768,69329,74951,1548,684,1409,1640,771,3407,935,338,112486,67.97,455266,309453,6.28,0.17,1.01,19440,536,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",JUNTOS POR EL CAMBIO,1.11,0.13,0.16,1.12,38.91,24.55,0.22,0.14,0.24,0.17,0.1,0.19,0.0,0.0,32.96,199,23,29,201,7005,4420,40,25,44,30,18,35,0,0,5935,74.73,25870,19333,6.19,0.18,0.51,1196,34,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,4.09,0.18,0.21,1.11,29.61,21.27,0.44,0.17,0.51,0.29,0.22,1.23,0.25,0.11,40.3,7763,335,403,2113,56226,40389,834,321,976,548,419,2342,475,214,76513,69.01,294097,202967,5.64,0.15,0.66,11447,307,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",JUNTOS POR EL CAMBIO,1.41,0.01,0.12,1.54,42.74,21.73,0.37,0.34,0.37,0.63,0.1,0.73,0.0,0.01,29.91,150,1,13,164,4559,2318,39,36,39,67,11,78,0,1,3191,66.43,18397,12221,11.86,0.19,0.67,1449,23,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",JUNTOS POR EL CAMBIO,1.89,0.0,0.19,1.83,40.69,27.52,0.29,0.37,0.34,0.16,0.14,0.8,0.01,0.0,25.79,683,0,67,658,14668,9920,103,133,122,57,49,287,3,1,9297,67.96,58801,39960,8.22,0.15,1.43,3284,58,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",JUNTOS POR EL CAMBIO,3.7,0.01,0.23,1.11,35.9,33.24,0.39,0.29,0.43,0.5,0.4,1.2,0.12,0.01,22.47,5930,10,376,1784,57507,53232,629,457,686,798,637,1923,197,10,35989,69.55,250395,174140,6.37,0.25,1.41,11090,434,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",JUNTOS POR EL CAMBIO,1.45,0.04,0.36,0.95,43.56,32.6,0.24,0.29,0.39,0.43,0.12,0.61,0.04,0.0,18.93,360,9,89,237,10825,8101,60,73,97,107,29,151,10,1,4704,67.04,41045,27517,8.66,0.25,0.78,2382,68,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",UNION POR LA PATRIA,1.75,0.47,0.16,1.48,26.65,25.97,0.27,0.22,0.31,0.54,0.23,0.6,0.07,0.01,41.27,340,92,31,288,5189,5056,53,42,60,105,45,117,14,1,8035,69.39,31008,21515,8.65,0.08,0.78,1861,18,BUENOS AIRES
BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",UNION POR LA PATRIA,1.71,0.0,0.12,2.08,30.84,23.55,0.26,0.3,0.27,0.16,0.12,0.77,0.0,0.0,39.82,162,0,11,197,2921,2231,25,28,26,15,11,73,0,0,3772,64.72,17915,11594,17.33,0.11,0.86,2009,13,BUENOS AIRES
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.23,0.02,0.24,1.19,24.18,27.77,0.47,0.22,0.48,0.44,0.32,1.38,0.18,0.11,38.75,7512,43,429,2121,42917,49296,837,393,853,779,576,2443,320,200,68787,70.18,273006,191607,6.5,0.15,0.71,12459,288,BUENOS AIRES
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,4.26,0.35,0.33,1.39,29.39,22.5,0.42,0.29,0.53,0.54,0.31,1.26,0.31,0.11,38.01,2195,179,172,715,15138,11587,218,151,272,277,158,647,158,58,19574,69.41,81862,56819,8.65,0.29,0.42,4917,162,BUENOS AIRES
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",JUNTOS POR EL CAMBIO,1.57,0.0,0.16,0.95,43.32,25.78,0.14,0.24,0.32,0.17,0.14,0.37,0.0,0.0,26.83,306,0,32,185,8444,5025,28,46,62,34,28,72,0,0,5230,67.6,31233,21112,6.65,0.25,0.78,1403,53,BUENOS AIRES
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",JUNTOS POR EL CAMBIO,1.02,0.0,0.13,1.75,38.34,25.66,0.19,0.17,0.25,0.18,0.15,0.54,0.08,0.0,31.53,234,0,29,401,8762,5864,43,39,56,41,35,124,18,1,7206,69.03,37317,25761,10.22,0.28,0.79,2634,71,BUENOS AIRES
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",JUNTOS POR EL CAMBIO,1.75,0.47,0.22,1.03,36.04,27.93,0.27,0.28,0.44,0.49,0.14,1.4,0.09,0.22,29.22,308,82,39,182,6338,4912,47,50,77,87,25,247,15,39,5139,72.48,26400,19134,7.07,0.03,0.99,1352,5,BUENOS AIRES
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",JUNTOS POR EL CAMBIO,2.87,0.25,0.15,0.68,41.9,25.21,0.29,0.09,0.34,0.48,0.21,0.74,0.3,0.16,26.33,1609,138,86,383,23470,14123,162,50,188,269,117,415,168,91,14751,70.63,86616,61179,7.46,0.2,0.77,4562,124,BUENOS AIRES
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",JUNTOS POR EL CAMBIO,0.96,0.37,0.14,1.76,42.05,30.66,0.19,0.33,0.2,0.24,0.11,0.5,0.0,0.0,22.5,88,34,13,162,3863,2816,17,30,18,22,10,46,0,0,2067,72.82,13574,9885,6.42,0.04,0.61,635,4,BUENOS AIRES
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",JUNTOS POR EL CAMBIO,1.37,0.35,0.13,1.91,35.63,31.31,0.16,0.27,0.21,0.54,0.08,0.44,0.09,0.02,27.51,158,40,15,221,4114,3615,18,31,24,62,9,51,10,2,3176,63.11,20096,12683,8.54,0.18,0.24,1083,23,BUENOS AIRES
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",UNION POR LA PATRIA,1.35,0.1,0.06,0.99,39.18,14.61,0.08,0.06,0.23,0.94,0.08,0.61,0.0,0.0,41.72,96,7,4,70,2783,1038,6,4,16,67,6,43,0,0,2964,77.2,10175,7855,9.33,0.09,0.14,733,7,BUENOS AIRES
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",JUNTOS POR EL CAMBIO,0.79,0.11,0.09,1.16,37.62,27.04,0.05,0.09,0.16,0.66,0.02,0.2,0.0,0.0,32.02,73,10,8,108,3496,2513,5,8,15,61,2,19,0,0,2976,74.89,13815,10346,9.65,0.26,0.26,998,27,BUENOS AIRES
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",UNION POR LA PATRIA,0.94,0.0,0.04,0.78,37.88,21.43,0.02,0.09,0.16,0.09,0.0,0.09,0.05,0.0,38.44,53,0,2,44,2142,1212,1,5,9,5,0,5,3,0,2174,77.34,7935,6137,6.34,0.75,0.77,389,46,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",UNION POR LA PATRIA,3.18,0.21,0.33,0.98,28.17,28.84,0.29,0.18,0.37,0.23,0.19,1.12,0.19,0.22,35.49,1022,67,105,316,9048,9265,93,58,119,75,62,360,60,71,11400,66.8,51198,34198,5.18,0.27,0.63,1772,91,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",UNION POR LA PATRIA,1.6,0.23,0.12,1.72,31.95,26.14,0.53,0.21,0.27,0.15,0.11,0.82,0.03,0.0,36.12,468,67,36,503,9350,7650,156,62,78,43,33,241,8,0,10571,73.24,43166,31615,6.39,0.15,0.89,2020,48,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,2.05,0.03,0.14,1.47,40.86,27.21,0.15,0.25,0.31,0.8,0.11,0.68,0.06,0.01,25.87,434,7,30,311,8666,5771,31,53,66,170,24,144,13,2,5486,68.15,35272,24037,11.3,0.15,0.32,2716,35,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",JUNTOS POR EL CAMBIO,1.89,0.21,0.1,12.56,29.11,26.02,0.18,0.2,0.27,0.52,0.12,1.34,0.0,0.0,27.47,709,77,39,4711,10919,9759,68,75,103,196,44,501,0,0,10304,70.48,60352,42534,11.11,0.17,0.54,4726,74,BUENOS AIRES
