id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",LA LIBERTAD AVANZA,1.38,0.16,0.15,26.7,24.75,33.17,0.25,0.1,0.24,0.18,0.16,0.78,0.26,0.0,11.71,536,63,60,10405,9646,12927,97,40,93,71,62,304,102,0,4564,64.35,62632,40306,1.79,0.02,1.51,721,8,CORDOBA
CORDOBA_CAPITAL,"Capital, Cordoba",LA LIBERTAD AVANZA,2.32,0.11,0.12,30.2,25.76,31.86,0.18,0.14,0.08,0.26,0.09,0.64,0.18,0.01,8.05,17912,857,915,232780,198532,245608,1380,1069,632,1995,695,4915,1397,44,62054,69.89,1131854,791091,1.31,0.06,1.2,10392,457,CORDOBA
CORDOBA_COLON,"Colon, Cordoba",LA LIBERTAD AVANZA,1.67,0.14,0.12,27.88,26.04,34.84,0.15,0.1,0.15,0.24,0.11,0.59,0.19,0.0,7.75,2844,243,199,47389,44260,59212,259,178,255,409,192,1004,328,4,13179,69.28,252221,174731,1.5,0.03,1.2,2623,56,CORDOBA
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",HACEMOS POR NUESTRO PAIS,0.81,0.25,0.29,31.87,19.92,27.93,0.29,0.2,0.21,0.22,0.21,0.78,0.34,0.02,16.64,233,72,83,9123,5702,7995,84,58,61,62,60,224,96,7,4762,55.27,53674,29664,2.18,0.08,1.25,646,25,CORDOBA
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",LA LIBERTAD AVANZA,0.47,0.23,0.13,25.16,26.08,37.97,0.16,0.09,0.22,0.06,0.1,0.69,0.19,0.01,8.45,82,41,23,4402,4563,6644,28,15,39,10,18,121,34,1,1478,60.71,29517,17919,1.67,0.01,0.67,299,1,CORDOBA
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",LA LIBERTAD AVANZA,1.13,0.18,0.15,20.3,27.68,35.74,0.28,0.14,0.28,0.17,0.14,1.0,0.23,0.0,12.57,897,140,122,16062,21900,28279,220,112,218,132,112,793,184,2,9948,67.11,121323,81424,1.74,0.04,1.05,1419,29,CORDOBA
CORDOBA_ISCHILIN,"Ischilin, Cordoba",LA LIBERTAD AVANZA,0.92,0.16,0.2,31.26,20.14,35.22,0.16,0.06,0.15,0.17,0.11,0.68,0.22,0.0,10.56,171,30,37,5813,3745,6550,29,11,28,31,20,127,41,0,1964,64.17,29927,19204,1.97,0.04,1.16,378,7,CORDOBA
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",LA LIBERTAD AVANZA,0.67,0.21,0.16,22.81,23.24,43.48,0.2,0.15,0.23,0.16,0.15,0.79,0.23,0.0,7.51,247,77,60,8403,8562,16017,73,57,85,58,56,290,85,0,2767,68.25,55869,38128,2.07,0.01,1.3,789,5,CORDOBA
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",LA LIBERTAD AVANZA,0.63,0.13,0.14,21.29,30.83,34.95,0.18,0.11,0.26,0.08,0.09,0.73,0.17,0.0,10.39,378,77,84,12838,18588,21073,109,66,157,51,57,443,100,0,6266,68.98,89827,61960,2.02,0.01,0.67,1250,9,CORDOBA
CORDOBA_MINAS,"Minas, Cordoba",HACEMOS POR NUESTRO PAIS,0.7,0.39,0.23,45.27,21.49,19.28,0.12,0.31,0.31,0.23,0.16,0.58,0.16,0.0,10.78,18,10,6,1167,554,497,3,8,8,6,4,15,4,0,278,51.92,5154,2676,1.64,1.31,0.71,44,35,CORDOBA
CORDOBA_POCHO,"Pocho, Cordoba",HACEMOS POR NUESTRO PAIS,0.73,0.23,0.23,37.11,31.79,21.19,0.04,0.12,0.15,0.08,0.04,0.39,0.15,0.0,7.75,19,6,6,963,825,550,1,3,4,2,1,10,4,0,201,54.35,4892,2659,1.92,0.0,0.49,51,0,CORDOBA
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Presidente Roque Saenz Peña, Cordoba",LA LIBERTAD AVANZA,0.63,0.27,0.14,30.77,26.01,32.84,0.24,0.1,0.27,0.14,0.12,1.05,0.09,0.0,7.33,127,54,28,6223,5259,6641,48,21,54,28,25,213,18,0,1482,65.62,31646,20765,1.67,0.01,0.93,347,3,CORDOBA
CORDOBA_PUNILLA,"Punilla, Cordoba",LA LIBERTAD AVANZA,1.58,0.17,0.13,26.6,26.52,32.5,0.22,0.11,0.3,0.25,0.12,0.7,0.23,0.0,10.57,1880,197,160,31652,31557,38679,262,134,354,298,146,835,273,0,12585,64.57,189780,122546,1.34,0.02,1.52,1643,23,CORDOBA
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",LA LIBERTAD AVANZA,0.96,0.15,0.14,22.27,26.92,38.12,0.21,0.11,0.21,0.33,0.09,0.73,0.19,0.0,9.57,1368,216,195,31719,38342,54293,302,151,301,468,127,1042,266,1,13637,66.08,222383,146949,1.66,0.02,1.39,2438,35,CORDOBA
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",LA LIBERTAD AVANZA,0.72,0.17,0.17,28.24,23.7,39.18,0.17,0.06,0.08,0.09,0.13,0.55,0.14,0.0,6.62,210,48,48,8209,6888,11387,48,17,22,26,39,159,40,0,1925,67.41,44173,29775,1.62,0.01,0.75,481,4,CORDOBA
CORDOBA_RIO SECO,"Rio Seco, Cordoba",LA LIBERTAD AVANZA,0.49,0.19,0.29,31.59,22.11,33.22,0.11,0.03,0.01,0.21,0.24,0.65,0.26,0.0,10.6,37,14,22,2387,1671,2510,8,2,1,16,18,49,20,0,801,56.06,13894,7789,2.13,0.03,0.83,166,2,CORDOBA
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",LA LIBERTAD AVANZA,0.64,0.3,0.16,28.78,25.25,37.63,0.17,0.1,0.23,0.13,0.09,0.67,0.12,0.0,5.73,421,199,102,18798,16496,24580,111,64,147,85,62,437,77,0,3740,70.57,95060,67080,1.63,0.02,0.98,1091,11,CORDOBA
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",HACEMOS POR NUESTRO PAIS,1.41,0.25,0.18,34.08,19.15,32.2,0.23,0.13,0.24,0.37,0.16,0.8,0.19,0.0,10.59,328,57,41,7904,4442,7468,54,31,56,85,38,185,45,0,2456,61.77,38813,23973,1.91,0.03,1.33,457,6,CORDOBA
CORDOBA_SAN JAVIER,"San Javier, Cordoba",LA LIBERTAD AVANZA,1.34,0.28,0.23,25.23,20.89,35.21,0.25,0.17,0.32,0.21,0.22,0.88,0.17,0.0,14.61,430,89,73,8093,6699,11292,80,56,103,67,69,281,56,0,4685,61.69,53733,33148,2.1,0.01,1.14,696,2,CORDOBA
CORDOBA_SAN JUSTO,"San Justo, Cordoba",LA LIBERTAD AVANZA,0.71,0.16,0.21,29.93,24.02,36.23,0.16,0.1,0.22,0.1,0.09,0.69,0.11,0.0,7.27,886,198,255,37194,29842,45025,202,129,271,127,107,856,134,1,9034,67.04,190369,127616,1.58,0.05,1.01,2013,59,CORDOBA
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",LA LIBERTAD AVANZA,1.32,0.16,0.12,30.3,23.11,34.98,0.2,0.1,0.22,0.38,0.09,0.63,0.13,0.0,8.25,1002,121,93,22919,17480,26460,152,73,164,290,71,475,100,0,6241,68.89,113027,77869,1.51,0.04,1.3,1179,35,CORDOBA
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",HACEMOS POR NUESTRO PAIS,0.46,0.13,0.08,44.54,29.67,17.57,0.04,0.04,0.0,0.21,0.0,0.55,0.08,0.0,6.62,11,3,2,1057,704,417,1,1,0,5,0,13,2,0,157,55.34,4369,2418,1.57,0.0,0.29,38,0,CORDOBA
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",LA LIBERTAD AVANZA,0.74,0.15,0.16,28.22,25.29,36.2,0.25,0.13,0.25,0.1,0.08,0.57,0.17,0.0,7.69,511,102,110,19498,17472,25011,174,90,170,70,58,396,114,0,5313,69.96,101330,70889,1.49,0.02,1.04,1055,11,CORDOBA
CORDOBA_TOTORAL,"Totoral, Cordoba",LA LIBERTAD AVANZA,0.61,0.23,0.14,26.24,29.25,36.04,0.1,0.13,0.05,0.12,0.12,0.49,0.23,0.01,6.24,75,29,17,3252,3626,4467,13,16,6,15,15,61,29,1,773,67.34,18840,12687,1.59,0.04,0.67,202,5,CORDOBA
CORDOBA_TULUMBA,"Tulumba, Cordoba",HACEMOS POR NUESTRO PAIS,0.7,0.16,0.28,38.91,21.48,29.58,0.15,0.06,0.07,0.59,0.06,0.61,0.13,0.0,7.22,47,11,19,2625,1449,1996,10,4,5,40,4,41,9,0,487,53.41,12915,6898,1.41,0.03,0.75,97,2,CORDOBA
CORDOBA_UNION,"Union, Cordoba",LA LIBERTAD AVANZA,0.75,0.2,0.17,21.58,27.01,37.48,0.24,0.11,0.29,0.19,0.11,0.8,0.12,0.0,10.95,465,122,107,13307,16652,23106,145,65,179,118,67,495,77,0,6751,65.65,96734,63505,2.03,0.02,0.86,1287,13,CORDOBA
