id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",UNION POR LA PATRIA,0.57,0.0,0.0,1.36,31.44,28.03,0.33,0.2,0.26,0.23,0.22,0.41,0.0,0.0,36.93,131,1,1,310,7182,6402,76,45,59,53,51,94,1,0,8434,70.0,33547,23484,1.66,0.04,1.04,390,10,CORRIENTES
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",JUNTOS POR EL CAMBIO,1.1,0.0,0.0,0.63,45.18,23.83,0.23,0.29,0.23,0.17,0.4,0.46,0.0,0.0,27.47,19,0,0,11,783,413,4,5,4,3,7,8,0,0,476,64.94,2747,1784,2.24,0.0,0.62,40,0,CORRIENTES
CORRIENTES_CAPITAL,"Capital, Corrientes",JUNTOS POR EL CAMBIO,1.31,0.01,0.23,1.2,38.8,35.15,0.39,0.13,0.4,1.08,0.26,0.65,0.01,0.01,20.36,2763,12,483,2536,81989,74278,834,273,852,2286,547,1379,19,24,43013,70.46,311465,219471,1.96,0.11,1.66,4297,241,CORRIENTES
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",UNION POR LA PATRIA,0.75,0.01,0.37,0.72,31.21,26.53,0.59,0.28,0.29,0.73,0.32,0.66,0.0,0.0,37.55,94,1,47,90,3927,3338,74,35,36,92,40,83,0,0,4724,66.9,19490,13038,2.39,0.05,1.06,312,7,CORRIENTES
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",JUNTOS POR EL CAMBIO,0.86,0.0,0.0,2.25,33.28,29.63,0.67,0.36,0.44,0.6,0.04,0.52,0.0,0.0,31.36,214,0,0,563,8324,7409,167,91,109,149,10,131,0,0,7842,65.7,39956,26252,3.15,0.06,1.52,828,15,CORRIENTES
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",UNION POR LA PATRIA,1.01,0.02,0.28,1.34,33.78,24.82,0.39,0.21,0.31,1.73,0.29,0.39,0.46,0.09,34.88,98,2,27,130,3280,2410,38,20,30,168,28,38,45,9,3387,67.33,15015,10110,2.41,0.09,1.45,244,9,CORRIENTES
CORRIENTES_ESQUINA,"Esquina, Corrientes",UNION POR LA PATRIA,1.42,0.0,0.21,2.1,27.74,25.35,0.38,0.22,0.22,0.16,0.21,0.48,0.01,0.0,41.49,259,0,38,382,5056,4620,70,41,40,30,39,87,2,0,7562,56.56,33339,18856,1.67,0.62,1.06,315,116,CORRIENTES
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",JUNTOS POR EL CAMBIO,0.68,0.0,0.0,0.75,38.25,23.92,0.42,0.14,0.3,0.16,0.0,0.35,0.0,0.0,35.03,29,0,0,32,1639,1025,18,6,13,7,0,15,0,0,1501,60.7,7293,4427,1.33,0.02,1.85,59,1,CORRIENTES
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",JUNTOS POR EL CAMBIO,0.69,0.0,0.23,1.02,39.6,22.32,0.41,0.13,0.2,0.19,0.28,0.33,0.0,0.0,34.6,64,0,21,95,3681,2075,38,12,19,18,26,31,0,0,3216,64.3,14844,9545,1.75,0.01,0.85,167,1,CORRIENTES
CORRIENTES_GOYA,"Goya, Corrientes",UNION POR LA PATRIA,0.86,0.02,0.28,1.78,32.9,22.93,0.47,0.28,0.3,0.28,0.25,0.44,0.0,0.0,39.21,451,11,146,937,17281,12045,247,147,155,146,133,231,2,1,20600,67.76,80528,54565,2.18,0.11,1.44,1188,59,CORRIENTES
