id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
JUJUY_COCHINOCA,"Cochinoca, Jujuy",LA LIBERTAD AVANZA,14.77,0.01,0.19,1.24,13.66,44.08,0.29,0.26,0.57,0.38,0.43,1.1,0.0,0.0,23.02,1088,1,14,91,1006,3246,21,19,42,28,32,81,0,0,1695,69.85,11188,7815,3.99,0.06,1.71,312,5,JUJUY
JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,7.05,0.16,0.22,1.87,29.55,41.69,0.25,0.23,0.37,0.55,0.36,0.8,0.01,0.0,16.89,11179,258,341,2965,46848,66082,401,362,589,877,570,1261,11,1,26769,72.51,229714,166560,3.26,0.07,1.5,5429,119,JUJUY
JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,5.62,0.05,0.23,1.39,21.18,52.66,0.26,0.17,0.32,0.24,0.36,0.36,0.0,0.0,17.15,3308,30,137,816,12463,30981,152,99,191,141,214,210,1,0,10088,75.27,84174,63360,6.02,0.1,1.02,3815,65,JUJUY
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",LA LIBERTAD AVANZA,17.14,0.01,0.3,2.09,17.07,36.03,0.31,0.26,0.69,0.56,0.47,0.39,0.0,0.01,24.68,1672,1,29,204,1666,3515,30,25,67,55,46,38,0,1,2408,71.45,14732,10526,5.57,0.06,1.68,586,6,JUJUY
JUJUY_LEDESMA,"Ledesma, Jujuy",LA LIBERTAD AVANZA,6.97,0.18,0.23,1.74,21.37,38.15,0.29,0.2,0.24,0.19,0.32,1.08,0.0,0.0,29.02,3190,84,107,797,9775,17453,131,93,112,87,145,494,2,1,13274,70.08,69220,48509,4.45,0.05,1.2,2161,23,JUJUY
JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,8.78,0.01,0.29,2.54,23.23,44.01,0.38,0.25,0.4,0.4,0.37,0.66,0.01,0.0,18.68,3037,2,99,878,8034,15222,132,86,138,138,128,230,3,1,6460,78.59,48585,38184,7.74,0.09,1.59,2954,36,JUJUY
JUJUY_RINCONADA,"Rinconada, Jujuy",LA LIBERTAD AVANZA,5.76,0.0,0.0,0.47,12.94,39.65,0.35,0.0,0.12,0.12,0.24,1.29,0.0,0.0,39.06,49,0,0,4,110,337,3,0,1,1,2,11,0,0,332,54.97,1650,907,4.63,0.33,1.32,42,3,JUJUY
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,4.39,0.0,0.21,1.21,31.26,41.05,0.14,0.12,0.38,0.4,0.33,0.5,0.0,0.0,20.0,185,0,9,51,1316,1728,6,5,16,17,14,21,0,0,842,73.36,6036,4428,3.86,0.05,1.02,171,2,JUJUY
JUJUY_SAN PEDRO,"San Pedro, Jujuy",LA LIBERTAD AVANZA,4.67,0.08,0.15,2.04,24.87,36.21,0.27,0.17,0.27,0.26,0.27,0.69,0.0,0.0,30.04,2118,36,69,925,11281,16423,122,75,124,120,123,315,2,1,13627,72.78,65737,47843,4.2,0.04,0.95,2008,18,JUJUY
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,3.62,0.0,0.23,0.88,28.12,30.34,0.21,0.18,1.08,0.21,0.36,0.59,0.01,0.0,34.17,377,0,24,92,2929,3160,22,19,112,22,37,61,1,0,3559,71.38,15454,11031,4.88,0.03,0.68,538,3,JUJUY
