id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
LA PAMPA_ATREUCO,"Atreuco, La Pampa",JUNTOS POR EL CAMBIO,0.91,0.02,0.36,2.44,35.1,32.38,0.39,0.15,0.58,0.33,0.27,0.02,0.0,0.0,27.05,60,1,24,161,2315,2136,26,10,38,22,18,1,0,0,1784,67.54,10147,6853,2.38,0.0,1.37,163,0,LA PAMPA
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",UNION POR LA PATRIA,2.42,4.13,0.55,3.67,25.9,25.2,1.01,0.62,0.55,1.72,0.47,0.0,0.0,0.0,33.78,31,53,7,47,332,323,13,8,7,22,6,0,0,0,433,61.82,2237,1383,4.34,0.8,2.17,60,11,LA PAMPA
LA PAMPA_CAPITAL,"Capital, La Pampa",UNION POR LA PATRIA,2.54,0.01,0.22,4.13,27.12,28.82,0.68,0.22,0.37,0.49,0.37,1.38,0.0,0.0,33.63,1618,6,141,2629,17261,18337,434,142,234,313,237,878,3,2,21401,68.8,96127,66135,1.68,0.45,1.65,1110,300,LA PAMPA
LA PAMPA_CATRILO,"Catrilo, La Pampa",LA LIBERTAD AVANZA,0.84,0.0,0.34,2.61,24.93,36.94,0.27,0.29,0.34,0.42,0.42,0.02,0.0,0.0,32.57,40,0,16,124,1183,1753,13,14,16,20,20,1,0,0,1546,69.9,7057,4933,2.19,0.08,1.52,108,4,LA PAMPA
LA PAMPA_CHALILEO,"Chalileo, La Pampa",UNION POR LA PATRIA,1.35,0.0,0.25,1.41,21.33,32.27,0.49,0.25,0.18,0.55,0.49,0.0,0.0,0.0,41.43,22,0,4,23,347,525,8,4,3,9,8,0,0,0,674,61.66,2731,1684,2.79,0.06,0.53,47,1,LA PAMPA
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",LA LIBERTAD AVANZA,1.26,0.0,0.4,3.88,32.7,36.71,0.51,0.18,0.38,0.31,0.45,0.0,0.0,0.0,23.22,92,0,29,284,2391,2684,37,13,28,23,33,0,0,0,1698,68.35,11079,7572,2.35,0.03,1.06,178,2,LA PAMPA
LA PAMPA_CHICAL CO,"Chical Co, La Pampa",UNION POR LA PATRIA,1.05,0.0,0.58,0.82,21.61,31.54,0.7,0.58,0.58,0.93,0.58,0.0,0.0,0.0,41.0,9,0,5,7,185,270,6,5,5,8,5,0,0,0,351,59.91,1474,883,1.36,0.57,1.13,12,5,LA PAMPA
LA PAMPA_CONHELO,"Conhelo, La Pampa",LA LIBERTAD AVANZA,1.13,0.0,0.3,2.56,29.74,35.83,0.33,0.25,0.38,0.36,0.55,0.6,0.0,0.0,27.97,98,0,26,223,2589,3119,29,22,33,31,48,52,0,0,2435,68.62,13151,9024,2.07,0.03,1.43,187,3,LA PAMPA
LA PAMPA_CURACO,"Curaco, La Pampa",UNION POR LA PATRIA,0.19,0.0,0.94,0.94,16.76,25.42,0.19,0.38,0.75,0.19,0.19,0.0,0.0,0.0,54.05,1,0,5,5,89,135,1,2,4,1,1,0,0,0,287,60.72,891,541,1.48,0.0,0.37,8,0,LA PAMPA
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,1.39,0.0,0.33,1.97,39.38,35.81,0.46,0.23,0.39,0.5,0.33,0.73,0.0,0.0,18.48,72,0,17,102,2042,1857,24,12,20,26,17,38,0,0,958,64.43,8308,5353,2.58,0.0,0.56,138,0,LA PAMPA
