id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,3.55,0.0,0.17,1.19,43.3,33.92,0.34,0.25,0.31,1.28,0.22,0.7,0.01,0.0,14.76,2438,1,120,815,29721,23280,232,173,211,880,149,479,5,1,10129,70.43,100442,70743,1.38,0.1,1.5,977,70,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",LA LIBERTAD AVANZA,1.81,0.03,0.46,3.4,28.97,40.31,0.46,0.29,0.44,0.82,0.36,0.94,0.0,0.01,21.7,434,8,111,814,6937,9652,109,70,105,196,86,224,1,3,5195,64.69,38553,24939,2.46,0.09,1.44,613,23,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",LA LIBERTAD AVANZA,3.68,0.01,0.23,1.38,35.6,40.79,0.38,0.34,0.31,1.38,0.23,0.78,0.0,0.01,14.88,4037,8,251,1515,39083,44774,412,376,343,1510,252,858,4,10,16337,71.26,159780,113861,1.79,0.1,1.7,2040,112,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",LA LIBERTAD AVANZA,3.6,0.0,0.23,1.2,30.51,46.57,0.37,0.34,0.32,1.94,0.3,0.64,0.01,0.01,13.97,5928,1,385,1971,50275,76731,606,561,521,3198,493,1058,15,13,23013,72.25,236488,170854,1.71,0.08,1.78,2919,132,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",LA LIBERTAD AVANZA,2.74,0.0,0.29,1.16,29.01,48.91,0.46,0.33,0.33,1.69,0.31,0.62,0.01,0.0,14.13,752,0,80,319,7950,13401,126,90,90,464,85,171,2,0,3871,76.02,37398,28430,1.87,0.05,1.7,531,15,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",UNION POR LA PATRIA,0.55,0.0,0.15,0.43,29.57,27.46,0.19,0.07,0.15,0.35,0.11,0.29,0.0,0.0,40.67,40,0,11,31,2135,1982,14,5,11,25,8,21,0,0,2936,77.76,9463,7358,1.26,0.05,0.57,93,4,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",LA LIBERTAD AVANZA,3.88,0.02,0.28,1.39,25.38,47.04,0.48,0.42,0.41,1.27,0.34,0.84,0.0,0.01,18.25,4389,21,317,1572,28718,53225,540,471,468,1439,383,952,0,14,20649,69.94,168582,117905,2.0,0.09,1.93,2354,112,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",LA LIBERTAD AVANZA,2.68,0.0,0.25,0.98,15.82,47.61,0.38,0.29,0.58,3.22,0.41,0.75,0.0,0.06,26.95,666,1,63,243,3925,11815,95,73,144,800,102,185,0,14,6688,70.63,36260,25610,1.71,0.06,1.34,438,16,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan De Cuyo, Mendoza",LA LIBERTAD AVANZA,3.18,0.0,0.23,1.18,33.36,45.81,0.37,0.34,0.38,1.76,0.27,0.73,0.0,0.01,12.38,2413,0,171,892,25317,34770,283,259,291,1338,206,554,1,4,9396,67.84,115829,78579,1.59,0.08,1.75,1247,62,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",LA LIBERTAD AVANZA,3.61,0.0,0.23,1.32,24.45,50.77,0.39,0.36,0.31,1.24,0.27,0.59,0.0,0.02,16.44,3926,4,250,1439,26619,55288,422,396,341,1355,292,641,1,20,17897,73.47,153779,112978,1.78,0.09,1.75,2010,100,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",LA LIBERTAD AVANZA,2.16,0.01,0.47,2.16,24.13,45.52,0.38,0.34,0.55,0.46,0.35,1.06,0.01,0.0,22.39,359,1,78,359,4012,7568,64,57,92,77,59,176,1,0,3723,69.08,25305,17481,3.21,0.07,1.6,562,13,MENDOZA
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",LA LIBERTAD AVANZA,2.5,0.04,0.21,1.26,26.88,47.86,0.43,0.28,0.28,2.67,0.31,0.49,0.0,0.04,16.74,808,14,67,409,8695,15480,139,90,92,865,100,158,1,14,5415,72.91,46146,33647,2.19,0.05,1.62,738,16,MENDOZA
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",LA LIBERTAD AVANZA,2.39,0.0,0.39,1.19,19.08,56.82,0.45,0.53,0.35,1.14,0.39,0.68,0.0,0.0,16.59,483,0,79,241,3858,11491,92,108,70,230,78,137,0,1,3356,72.74,28858,20991,2.12,0.06,1.47,446,13,MENDOZA
