id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
MISIONES_25 DE MAYO,"25 De Mayo, Misiones",UNION POR LA PATRIA,0.5,0.57,0.52,1.05,12.02,40.28,0.79,0.65,0.15,0.36,0.76,0.94,0.01,0.0,41.39,69,78,71,145,1654,5543,109,90,21,49,105,130,1,0,5696,58.67,26251,15401,10.5,0.05,0.1,1617,8,MISIONES
MISIONES_APOSTOLES,"Apostoles, Misiones",LA LIBERTAD AVANZA,2.31,0.02,0.64,1.46,21.72,41.72,0.55,0.24,0.22,0.9,0.37,1.03,0.02,0.0,28.79,573,6,159,363,5385,10346,137,59,54,224,92,255,4,1,7139,69.74,37208,25949,3.41,0.08,0.94,886,22,MISIONES
MISIONES_CAINGUAS,"Cainguas, Misiones",LA LIBERTAD AVANZA,1.05,0.02,0.67,0.93,14.9,48.5,0.86,0.68,0.29,0.5,0.72,0.62,0.03,0.0,30.24,293,5,188,259,4164,13554,241,189,81,141,201,172,7,1,8451,64.66,47070,30436,7.57,0.01,0.59,2305,3,MISIONES
MISIONES_CANDELARIA,"Candelaria, Misiones",LA LIBERTAD AVANZA,0.8,0.02,0.59,1.05,19.73,39.19,0.69,0.29,0.36,0.75,0.68,0.7,0.03,0.01,35.12,149,3,110,196,3677,7303,128,54,67,140,126,131,6,1,6546,66.29,29356,19459,3.37,0.11,0.75,655,22,MISIONES
MISIONES_CAPITAL,"Capital, Misiones",LA LIBERTAD AVANZA,1.11,0.03,0.38,1.72,27.02,43.02,0.51,0.24,0.27,1.08,0.36,0.72,0.02,0.01,23.51,2158,67,729,3327,52348,83343,988,466,517,2087,694,1400,43,28,45556,68.48,296326,202938,3.25,0.23,1.04,6595,474,MISIONES
MISIONES_CONCEPCION,"Concepcion, Misiones",JUNTOS POR EL CAMBIO,1.51,0.04,0.82,0.75,32.39,30.71,1.1,0.45,0.28,0.95,0.82,0.5,0.06,0.0,29.62,70,2,38,35,1505,1427,51,21,13,44,38,23,3,0,1376,61.28,8070,4945,5.5,0.08,0.47,272,4,MISIONES
MISIONES_ELDORADO,"Eldorado, Misiones",LA LIBERTAD AVANZA,4.13,0.12,0.38,2.02,15.96,46.09,0.46,0.17,0.32,0.49,0.62,0.49,0.01,0.0,28.75,1852,53,172,906,7153,20664,206,76,145,218,276,219,4,1,12887,67.71,69522,47070,3.71,0.16,0.89,1744,75,MISIONES
MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",LA LIBERTAD AVANZA,1.11,0.03,0.98,0.66,13.05,51.4,1.06,0.63,0.29,1.14,0.83,0.79,0.01,0.01,28.01,208,6,184,123,2440,9607,198,117,54,213,155,148,2,1,5235,53.29,37633,20053,5.4,0.78,0.61,1083,156,MISIONES
MISIONES_GUARANI,"Guarani, Misiones",LA LIBERTAD AVANZA,1.32,0.12,0.52,0.59,12.26,50.31,0.82,0.72,0.2,0.54,0.63,0.6,0.0,0.01,31.35,392,36,155,176,3639,14929,244,215,60,159,186,179,0,3,9303,54.57,60996,33286,10.06,0.05,0.74,3349,15,MISIONES
MISIONES_IGUAZU,"Iguazu, Misiones",LA LIBERTAD AVANZA,0.88,0.03,0.45,1.35,16.5,50.88,0.7,0.28,0.25,0.75,0.47,0.7,0.01,0.02,26.73,424,16,220,651,7980,24603,340,135,119,362,229,340,6,8,12926,64.86,77579,50316,3.0,0.05,0.84,1508,25,MISIONES
