id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
RIO NEGRO_25 DE MAYO,"25 De Mayo, Rio Negro",UNION POR LA PATRIA,2.58,0.02,0.02,2.37,17.72,33.62,0.9,1.16,0.42,1.47,0.96,0.64,0.02,0.0,38.11,158,1,1,145,1084,2057,55,71,26,90,59,39,1,0,2332,56.37,12882,7261,12.81,0.28,2.64,930,20,RIO NEGRO
RIO NEGRO_9 DE JULIO,"9 De Julio, Rio Negro",UNION POR LA PATRIA,1.44,0.0,0.0,1.64,10.96,26.23,0.55,0.89,0.27,1.23,0.75,0.0,0.0,0.0,56.03,21,0,0,24,160,383,8,13,4,18,11,0,0,0,818,56.25,3214,1808,17.59,0.39,1.27,318,7,RIO NEGRO
RIO NEGRO_ADOLFO ALSINA,"Adolfo Alsina, Rio Negro",LA LIBERTAD AVANZA,3.04,0.0,0.0,2.28,24.48,37.68,0.82,0.47,0.27,0.86,0.56,1.32,0.01,0.0,28.2,1089,1,0,815,8764,13489,293,170,95,308,202,471,3,0,10096,66.64,58232,38808,4.96,0.54,2.27,1924,208,RIO NEGRO
RIO NEGRO_AVELLANEDA,"Avellaneda, Rio Negro",LA LIBERTAD AVANZA,2.27,0.02,0.0,2.22,21.15,42.55,0.69,0.54,0.35,0.81,0.6,0.07,0.0,0.01,28.74,440,4,0,430,4102,8253,134,104,68,157,116,13,0,1,5574,66.5,31924,21231,6.19,0.18,2.27,1314,38,RIO NEGRO
RIO NEGRO_BARILOCHE,"Bariloche, Rio Negro",LA LIBERTAD AVANZA,5.15,0.02,0.02,2.91,24.75,31.57,1.1,0.46,0.35,0.91,0.78,1.49,0.34,0.01,30.15,4092,18,18,2311,19671,25092,871,369,276,722,622,1185,270,6,23961,65.51,129518,84850,3.69,0.11,2.52,3134,92,RIO NEGRO
RIO NEGRO_CONESA,"Conesa, Rio Negro",LA LIBERTAD AVANZA,2.33,0.0,0.0,1.72,18.9,42.35,0.57,0.7,0.0,0.64,0.61,0.0,0.0,0.0,32.19,73,0,0,54,593,1329,18,22,0,20,19,0,0,0,1010,57.24,5874,3362,4.05,0.36,2.26,136,12,RIO NEGRO
RIO NEGRO_EL CUY,"El Cuy, Rio Negro",UNION POR LA PATRIA,3.65,0.1,0.05,2.13,18.84,32.3,0.61,1.27,0.46,3.8,1.42,0.0,0.0,0.0,35.39,72,2,1,42,372,638,12,25,9,75,28,0,0,0,699,62.48,3457,2160,4.26,0.23,4.07,92,5,RIO NEGRO
RIO NEGRO_GENERAL ROCA,"General Roca, Rio Negro",LA LIBERTAD AVANZA,3.23,0.03,0.0,1.72,21.25,42.9,0.73,0.41,0.29,1.67,0.53,0.87,0.01,0.01,26.36,6384,55,4,3400,41994,84772,1435,809,575,3299,1052,1711,19,11,52082,72.68,293385,213231,4.75,0.13,2.46,10122,267,RIO NEGRO
RIO NEGRO_PICHI MAHUIDA,"Pichi Mahuida, Rio Negro",LA LIBERTAD AVANZA,2.35,0.01,0.01,2.56,23.96,40.46,0.59,0.41,0.44,0.89,0.66,0.02,0.0,0.04,27.6,191,1,1,208,1948,3289,48,33,36,72,54,2,0,3,2244,67.13,13050,8761,5.03,0.23,1.94,441,20,RIO NEGRO
RIO NEGRO_PILCANIYEU,"Pilcaniyeu, Rio Negro",UNION POR LA PATRIA,3.59,0.0,0.0,2.75,27.45,29.59,0.71,0.8,0.34,0.94,0.88,0.17,0.23,0.0,32.56,171,0,0,131,1309,1411,34,38,16,45,42,8,11,0,1553,62.39,8631,5385,9.1,0.2,2.14,490,11,RIO NEGRO
RIO NEGRO_SAN ANTONIO,"San Antonio, Rio Negro",LA LIBERTAD AVANZA,2.83,0.01,0.01,3.52,21.48,39.88,1.12,0.52,0.29,0.96,0.84,0.02,0.01,0.0,28.53,491,1,1,611,3730,6924,195,91,50,166,145,3,1,0,4953,63.17,30006,18955,6.05,0.08,2.27,1147,15,RIO NEGRO
RIO NEGRO_VALCHETA,"Valcheta, Rio Negro",LA LIBERTAD AVANZA,1.7,0.0,0.0,2.71,19.68,36.7,0.9,0.74,0.59,1.06,0.96,0.05,0.0,0.0,34.89,32,0,0,51,370,690,17,14,11,20,18,1,0,0,656,49.25,4136,2037,3.39,0.54,3.78,69,11,RIO NEGRO
RIO NEGRO_ÑORQUINCO,"Ñorquinco, Rio Negro",UNION POR LA PATRIA,2.62,0.49,0.16,1.64,22.13,18.03,1.31,1.31,1.31,3.44,1.64,0.0,0.0,0.0,45.9,16,3,1,10,135,110,8,8,8,21,10,0,0,0,280,52.38,1428,748,16.44,0.0,2.01,123,0,RIO NEGRO
