id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SALTA_ANTA,"Anta, Salta",LA LIBERTAD AVANZA,0.91,0.0,0.2,1.54,15.29,48.89,0.22,0.23,0.45,0.33,0.31,0.09,0.0,0.0,31.53,216,0,48,365,3616,11567,52,54,106,79,73,22,0,0,7459,48.55,52474,25477,2.19,4.13,0.83,558,1051,SALTA
SALTA_CACHI,"Cachi, Salta",LA LIBERTAD AVANZA,1.62,0.0,0.53,0.71,13.4,55.91,0.21,0.25,0.64,0.41,0.37,1.1,0.0,0.0,24.86,71,0,23,31,586,2445,9,11,28,18,16,48,0,0,1087,64.89,7539,4892,9.16,0.27,1.19,448,13,SALTA
SALTA_CAFAYATE,"Cafayate, Salta",LA LIBERTAD AVANZA,1.26,0.0,0.35,2.15,15.35,54.03,0.48,0.21,0.35,0.56,0.49,0.11,0.0,0.01,24.66,116,0,32,198,1413,4975,44,19,32,52,45,10,0,1,2270,66.76,14440,9640,2.75,0.27,1.47,265,26,SALTA
SALTA_CAPITAL,"Capital, Salta",LA LIBERTAD AVANZA,2.45,0.01,0.19,2.23,20.89,52.13,0.32,0.17,0.31,2.21,0.77,0.64,0.22,0.01,17.44,7174,37,544,6541,61155,152574,951,502,912,6472,2265,1874,630,39,51035,67.68,450715,305027,1.95,0.28,1.8,5963,866,SALTA
SALTA_CERRILLOS,"Cerrillos, Salta",LA LIBERTAD AVANZA,1.95,0.0,0.21,1.56,16.69,56.72,0.27,0.23,0.41,0.85,0.54,0.2,0.0,0.0,20.36,541,0,58,433,4632,15738,75,63,114,237,150,55,1,0,5649,67.38,42528,28654,1.57,0.32,1.27,451,92,SALTA
SALTA_CHICOANA,"Chicoana, Salta",LA LIBERTAD AVANZA,1.23,0.0,0.36,1.49,16.71,57.61,0.41,0.38,0.59,0.62,0.39,0.1,0.04,0.0,20.08,149,0,43,180,2023,6976,50,46,71,75,47,12,5,0,2431,63.86,19477,12438,1.66,0.14,0.86,206,17,SALTA
SALTA_GENERAL GUEMES,"General Guemes, Salta",LA LIBERTAD AVANZA,2.48,0.0,0.26,2.08,13.69,51.12,0.27,0.19,0.44,0.29,0.39,0.27,0.01,0.0,28.51,629,0,65,527,3466,12945,69,49,111,73,98,68,3,1,7219,62.14,42130,26180,1.89,0.19,1.2,494,50,SALTA
SALTA_GENERAL JOSE DE SAN MARTIN,"General Jose De San Martin, Salta",UNION POR LA PATRIA,0.99,0.0,0.19,1.68,12.91,41.07,0.27,0.19,0.38,0.47,0.43,0.09,0.0,0.0,41.33,681,3,129,1158,8900,28305,185,134,259,325,298,61,0,0,28483,50.62,140320,71029,1.54,0.38,1.05,1091,272,SALTA
SALTA_GUACHIPAS,"Guachipas, Salta",LA LIBERTAD AVANZA,0.57,0.0,0.29,1.09,20.98,49.83,0.4,0.4,0.52,0.11,0.46,0.0,0.0,0.0,25.34,10,0,5,19,365,867,7,7,9,2,8,0,0,0,441,55.2,3344,1846,4.82,0.22,0.7,89,4,SALTA
SALTA_IRUYA,"Iruya, Salta",LA LIBERTAD AVANZA,1.29,0.0,0.33,0.5,5.3,51.81,0.13,0.46,0.29,0.29,0.29,0.0,0.0,0.0,39.3,31,0,8,12,127,1242,3,11,7,7,7,0,0,0,942,51.33,5036,2585,1.66,4.41,1.2,43,114,SALTA
SALTA_LA CALDERA,"La Caldera, Salta",LA LIBERTAD AVANZA,1.91,0.0,0.17,2.08,24.06,49.43,0.26,0.12,0.3,0.47,0.39,0.17,0.0,0.0,20.65,208,0,19,227,2623,5390,28,13,33,51,42,18,0,0,2252,70.53,15960,11257,1.56,0.23,1.34,176,26,SALTA
SALTA_LA CANDELARIA,"La Candelaria, Salta",LA LIBERTAD AVANZA,1.37,0.0,0.33,2.39,12.53,46.64,0.27,0.36,0.89,0.24,0.18,0.0,0.0,0.03,34.77,46,0,11,80,420,1564,9,12,30,8,6,0,0,1,1166,60.17,5750,3460,1.62,0.23,1.24,56,8,SALTA
SALTA_LA POMA,"La Poma, Salta",LA LIBERTAD AVANZA,1.64,1.42,0.22,0.77,8.63,49.4,0.44,0.11,0.66,0.44,0.22,0.0,0.0,0.0,36.07,15,13,2,7,79,452,4,1,6,4,2,0,0,0,330,65.51,1496,980,5.82,0.0,0.82,57,0,SALTA
SALTA_LA VIÑA,"La Viña, Salta",LA LIBERTAD AVANZA,0.79,0.02,0.11,1.5,15.73,53.1,0.36,0.14,0.52,0.36,0.18,0.0,0.0,0.02,27.15,35,1,5,66,693,2339,16,6,23,16,8,0,0,1,1196,56.15,8132,4566,2.28,0.13,1.12,104,6,SALTA
SALTA_LOS ANDES,"Los Andes, Salta",LA LIBERTAD AVANZA,1.42,0.0,0.44,1.74,7.27,65.5,0.32,0.44,0.66,0.63,0.76,0.03,0.0,0.0,20.79,45,0,14,55,230,2073,10,14,21,20,24,1,0,0,658,50.12,6622,3319,3.31,0.15,1.18,110,5,SALTA
SALTA_METAN,"Metan, Salta",LA LIBERTAD AVANZA,1.48,0.01,0.25,2.77,17.0,50.03,0.25,0.28,0.52,0.27,0.59,0.0,0.01,0.0,26.55,292,1,49,548,3358,9885,49,56,102,53,117,0,1,0,5246,56.21,36363,20438,1.57,0.28,1.48,321,57,SALTA
SALTA_MOLINOS,"Molinos, Salta",LA LIBERTAD AVANZA,0.72,0.0,0.36,0.62,10.81,44.63,0.39,0.26,0.62,0.36,0.36,0.03,0.03,0.0,40.8,22,0,11,19,330,1363,12,8,19,11,11,1,1,0,1246,62.89,5061,3183,3.36,0.16,0.53,107,5,SALTA
SALTA_ORAN,"Oran, Salta",LA LIBERTAD AVANZA,2.21,0.0,0.21,1.92,13.93,51.85,0.23,0.21,0.56,0.4,0.72,0.02,0.01,0.0,27.73,1394,1,131,1213,8802,32754,147,130,355,252,452,15,7,3,17520,53.37,123098,65693,1.68,1.06,1.09,1105,694,SALTA
SALTA_RIVADAVIA,"Rivadavia, Salta",UNION POR LA PATRIA,1.08,0.0,0.3,1.18,5.67,25.89,0.16,0.21,0.24,0.23,0.24,0.0,0.01,0.01,64.79,133,0,37,145,695,3175,20,26,29,28,29,0,1,1,7946,45.03,29930,13476,1.27,6.99,0.73,171,942,SALTA
SALTA_ROSARIO DE LA FRONTERA,"Rosario De La Frontera, Salta",LA LIBERTAD AVANZA,1.01,0.09,0.19,3.08,17.97,44.66,0.35,0.3,1.1,0.35,0.26,0.0,0.0,0.0,30.64,139,12,26,425,2482,6170,49,42,152,49,36,0,0,0,4232,54.45,26534,14447,1.99,1.21,1.18,287,175,SALTA
SALTA_ROSARIO DE LERMA,"Rosario De Lerma, Salta",LA LIBERTAD AVANZA,1.35,0.0,0.3,2.03,18.08,55.34,0.34,0.25,0.36,0.62,0.56,0.01,0.0,0.0,20.76,345,0,77,518,4613,14121,86,64,91,159,142,2,0,0,5297,68.32,38964,26619,2.36,0.22,1.57,628,58,SALTA
SALTA_SAN CARLOS,"San Carlos, Salta",LA LIBERTAD AVANZA,0.92,0.0,0.53,1.28,9.47,44.83,0.22,0.25,0.67,0.5,0.17,0.2,0.0,0.0,40.96,33,0,19,46,340,1609,8,9,24,18,6,7,0,0,1470,59.04,6585,3888,3.14,3.52,1.03,122,137,SALTA
SALTA_SANTA VICTORIA,"Santa Victoria, Salta",LA LIBERTAD AVANZA,1.34,0.0,0.94,0.94,8.16,50.94,0.53,0.67,0.8,0.4,0.27,0.0,0.0,0.0,35.03,10,0,7,7,61,381,4,5,6,3,2,0,0,0,262,11.25,8294,933,3.32,14.79,1.71,31,138,SALTA
