id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTA FE_9 DE JULIO,"9 De Julio, Santa Fe",LA LIBERTAD AVANZA,0.47,0.4,0.04,2.98,26.2,45.8,0.36,0.18,0.21,0.27,0.23,0.52,0.01,0.06,22.27,76,65,6,483,4246,7421,58,29,34,44,37,85,1,10,3609,64.31,26798,17234,4.01,0.05,1.92,691,8,SANTA FE
SANTA FE_BELGRANO,"Belgrano, Santa Fe",LA LIBERTAD AVANZA,1.18,0.0,0.18,7.99,32.82,40.3,0.21,0.1,0.32,0.17,0.12,1.13,0.11,0.18,15.19,309,0,48,2102,8630,10596,56,25,84,46,32,297,28,47,3994,70.32,39434,27731,3.74,0.05,1.4,1036,14,SANTA FE
SANTA FE_CASEROS,"Caseros, Santa Fe",JUNTOS POR EL CAMBIO,1.21,0.01,0.19,6.31,36.58,36.48,0.34,0.13,0.36,0.25,0.22,1.52,0.28,0.17,15.94,560,5,89,2929,16973,16929,159,61,169,114,100,706,131,78,7397,68.83,72274,49748,4.52,0.09,2.12,2251,43,SANTA FE
SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",LA LIBERTAD AVANZA,0.86,0.21,0.01,8.69,36.67,37.12,0.27,0.12,0.33,0.19,0.16,0.79,0.0,0.0,14.59,845,210,7,8562,36144,36592,264,119,322,189,153,775,1,1,14386,69.19,150694,104265,3.26,0.07,2.13,3401,70,SANTA FE
SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",LA LIBERTAD AVANZA,1.88,0.0,0.16,4.17,32.61,34.37,0.35,0.13,0.51,0.24,0.19,1.74,0.19,0.23,23.24,969,2,82,2147,16798,17707,178,69,263,123,99,894,96,118,11971,72.12,76627,55266,4.04,0.08,2.67,2234,42,SANTA FE
SANTA FE_GARAY,"Garay, Santa Fe",LA LIBERTAD AVANZA,0.7,0.41,0.12,1.98,28.53,41.56,0.24,0.17,0.34,0.16,0.22,0.69,0.09,0.19,24.59,83,48,14,235,3381,4924,29,20,40,19,26,82,11,23,2914,63.84,19882,12692,4.09,0.1,2.45,519,13,SANTA FE
SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",LA LIBERTAD AVANZA,1.08,0.0,0.12,4.78,35.58,39.85,0.23,0.09,0.23,0.21,0.22,1.54,0.25,0.15,15.65,1174,0,135,5169,38511,43130,252,99,253,229,241,1668,269,163,16939,68.34,166949,114087,3.24,0.07,1.82,3696,84,SANTA FE
SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",LA LIBERTAD AVANZA,0.94,0.16,0.2,3.05,30.9,38.63,0.33,0.18,0.33,0.36,0.26,0.9,0.06,0.13,23.59,902,150,194,2931,29655,37073,314,168,321,343,245,860,53,124,22634,66.43,153894,102231,3.82,0.09,2.22,3901,89,SANTA FE
SANTA FE_IRIONDO,"Iriondo, Santa Fe",LA LIBERTAD AVANZA,1.34,0.07,0.22,6.1,31.4,39.26,0.32,0.15,0.43,0.28,0.23,1.42,0.13,0.19,18.46,537,29,86,2441,12559,15703,128,60,172,110,92,568,53,74,7384,71.24,59887,42663,4.26,0.08,1.92,1817,33,SANTA FE
SANTA FE_LA CAPITAL,"La Capital, Santa Fe",LA LIBERTAD AVANZA,1.61,0.36,0.16,2.89,33.67,35.96,0.31,0.11,0.37,0.31,0.21,1.52,0.21,0.05,22.26,4594,1031,453,8274,96335,102896,894,315,1054,893,612,4336,607,131,63690,66.23,457221,302840,2.81,0.06,2.66,8497,169,SANTA FE
SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",LA LIBERTAD AVANZA,0.73,0.28,0.0,3.85,36.47,43.34,0.28,0.11,0.35,0.22,0.18,1.34,0.12,0.0,12.75,444,170,0,2354,22325,26533,169,68,216,133,112,822,71,0,7804,71.36,91070,64990,3.7,0.15,1.96,2403,95,SANTA FE
SANTA FE_ROSARIO,"Rosario, Santa Fe",LA LIBERTAD AVANZA,2.66,0.25,0.15,2.6,32.12,33.4,0.35,0.13,0.45,0.39,0.19,1.79,0.03,0.0,25.49,17102,1594,958,16731,206688,214942,2239,851,2883,2510,1197,11544,189,28,164011,65.27,1053869,687817,3.38,0.09,2.97,23266,636,SANTA FE
SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",LA LIBERTAD AVANZA,0.98,0.24,0.01,6.86,33.54,37.38,0.27,0.15,0.29,0.19,0.2,0.64,0.0,0.0,19.25,341,84,2,2389,11679,13018,93,53,100,67,71,224,0,0,6703,61.2,60546,37057,4.06,0.16,1.8,1506,60,SANTA FE
SANTA FE_SAN JAVIER,"San Javier, Santa Fe",LA LIBERTAD AVANZA,0.57,0.43,0.16,2.42,28.77,34.9,0.19,0.13,0.28,0.11,0.17,0.95,0.06,0.2,30.66,89,68,25,378,4498,5457,29,21,44,17,27,148,10,31,4793,60.12,27838,16737,4.0,0.07,2.51,670,12,SANTA FE
SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",LA LIBERTAD AVANZA,1.11,0.4,0.15,4.46,33.14,37.42,0.32,0.16,0.34,0.2,0.18,1.22,0.15,0.2,20.56,498,181,69,2008,14924,16850,143,70,151,88,82,549,66,90,9260,68.45,70162,48028,4.03,0.14,2.08,1936,65,SANTA FE
SANTA FE_SAN JUSTO,"San Justo, Santa Fe",LA LIBERTAD AVANZA,0.64,0.35,0.0,4.35,36.62,37.98,0.28,0.15,0.32,0.56,0.15,0.87,0.11,0.0,17.62,153,83,0,1043,8780,9107,68,36,77,134,37,208,26,0,4226,68.38,37209,25443,3.73,0.01,2.02,948,3,SANTA FE
SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",LA LIBERTAD AVANZA,1.68,0.1,0.17,3.59,27.47,41.66,0.28,0.12,0.33,0.27,0.26,1.8,0.23,0.2,21.84,1746,101,172,3725,28503,43227,291,129,341,284,270,1868,238,205,22658,70.25,156959,110256,3.35,0.04,2.5,3698,49,SANTA FE
SANTA FE_SAN MARTIN,"San Martin, Santa Fe",LA LIBERTAD AVANZA,0.77,0.32,0.14,8.06,33.14,41.2,0.27,0.11,0.23,0.53,0.19,1.04,0.09,0.19,13.72,278,116,52,2902,11930,14829,96,39,83,189,68,373,31,70,4940,69.48,55220,38367,3.7,0.08,2.4,1419,32,SANTA FE
SANTA FE_VERA,"Vera, Santa Fe",LA LIBERTAD AVANZA,0.56,0.31,0.05,2.92,28.12,36.1,0.36,0.22,0.33,0.28,0.3,1.15,0.13,0.1,29.06,145,81,14,760,7308,9381,94,56,86,74,77,300,35,25,7552,60.56,46301,28042,4.97,0.1,2.26,1393,27,SANTA FE
