id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",UNION POR LA PATRIA,2.24,0.11,0.39,0.81,11.9,29.13,0.38,0.26,0.35,1.56,0.14,0.07,0.0,0.03,52.63,577,29,101,208,3065,7501,98,66,90,401,37,18,1,8,13552,69.15,38497,26619,2.72,0.16,0.38,723,43,TUCUMAN
TUCUMAN_CAPITAL,"Capital, Tucuman",LA LIBERTAD AVANZA,2.2,0.11,0.29,1.24,29.93,38.12,0.31,0.21,0.35,2.97,0.41,0.33,0.01,0.0,23.53,6942,349,902,3907,94634,120529,969,650,1096,9393,1309,1045,28,1,74401,72.29,460824,333139,3.55,0.13,1.42,11814,435,TUCUMAN
TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",LA LIBERTAD AVANZA,0.8,0.0,0.33,1.62,20.32,38.48,0.31,0.22,0.35,0.84,0.18,0.07,0.0,0.02,36.46,402,0,166,809,10152,19224,153,109,174,419,91,34,0,9,18212,73.4,70673,51871,2.62,0.12,0.96,1359,61,TUCUMAN
TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",LA LIBERTAD AVANZA,2.48,0.06,0.31,0.93,14.68,39.72,0.32,0.23,0.27,1.41,0.52,0.12,0.0,0.01,38.93,3063,71,383,1147,18111,49003,391,280,330,1745,646,152,3,8,48031,73.96,174245,128874,2.98,0.14,1.16,3837,182,TUCUMAN
TUCUMAN_FAMAILLA,"Famailla, Tucuman",LA LIBERTAD AVANZA,1.0,0.0,0.27,1.1,12.69,43.49,0.41,0.25,0.36,0.62,0.25,0.01,0.0,0.0,39.54,224,1,61,248,2853,9781,92,57,81,139,57,2,0,0,8893,71.64,32845,23530,3.42,0.11,0.9,804,25,TUCUMAN
TUCUMAN_GRANEROS,"Graneros, Tucuman",UNION POR LA PATRIA,0.65,0.0,0.45,1.06,13.74,20.26,0.29,0.18,0.27,0.45,0.15,0.0,0.0,0.0,62.49,56,0,39,92,1189,1753,25,16,23,39,13,0,0,0,5407,70.7,12623,8925,2.44,0.13,0.48,218,12,TUCUMAN
TUCUMAN_JUAN BAUTISTA ALBERDI,"Juan Bautista Alberdi, Tucuman",UNION POR LA PATRIA,0.86,0.05,0.34,1.28,19.27,34.35,0.3,0.21,0.49,0.37,0.13,0.27,0.0,0.0,42.08,165,10,64,245,3677,6553,57,41,93,70,24,51,0,0,8027,72.44,27227,19723,2.51,0.03,0.74,496,5,TUCUMAN
TUCUMAN_LA COCHA,"La Cocha, Tucuman",UNION POR LA PATRIA,0.51,0.0,0.41,1.33,15.43,31.24,0.2,0.21,0.72,0.34,0.2,0.0,0.0,0.0,49.42,61,0,49,160,1862,3770,24,25,87,41,24,0,0,0,5963,72.91,17073,12448,2.23,0.12,0.72,277,15,TUCUMAN
TUCUMAN_LEALES,"Leales, Tucuman",UNION POR LA PATRIA,0.69,0.04,0.28,0.91,20.34,28.94,0.29,0.21,0.43,0.43,0.49,0.04,0.0,0.0,46.91,249,15,101,331,7365,10477,106,77,156,156,177,14,0,0,16983,73.27,51356,37631,2.92,0.12,0.75,1097,44,TUCUMAN
TUCUMAN_LULES,"Lules, Tucuman",LA LIBERTAD AVANZA,1.01,0.0,0.29,1.09,20.06,42.63,0.32,0.22,0.33,1.28,0.35,0.2,0.0,0.0,32.21,412,0,120,443,8162,17343,132,88,134,519,142,80,1,0,13103,73.63,57857,42603,3.21,0.11,1.2,1367,47,TUCUMAN
